Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20240415
Jahr;Monat;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1881;07;    50.5;    50.5;    80.9;    76.8;    58.2;    64.8;    72.9;    73.7;    67.0;    69.8;   102.5;    84.9;    62.2;    48.1;    49.7;    51.8;    69.0;
1882;07;   130.7;   130.6;   167.2;   172.4;   174.0;    83.4;   110.6;   110.2;   134.8;   157.5;    87.6;   175.6;   185.8;   140.1;   150.1;   162.7;   144.5;
1883;07;    87.9;    87.9;   145.4;   136.1;   116.5;    81.4;   107.6;   107.5;   132.7;   126.1;    97.2;   137.8;   125.2;    85.4;    93.9;   104.6;   116.9;
1884;07;    91.9;    91.9;    90.0;   111.5;    82.3;    96.6;    97.7;    97.5;   103.2;    88.8;   100.7;    93.6;    98.0;    86.8;    83.6;    79.5;    96.8;
1885;07;    53.7;    53.6;   113.2;   105.0;    64.1;    26.8;    35.7;    35.4;    46.1;    72.1;    21.3;    72.4;    82.5;    56.4;    59.2;    62.7;    67.3;
1886;07;    60.0;    60.0;    87.2;    96.5;    68.5;    51.6;    61.8;    61.9;    67.7;    57.3;    66.9;    52.4;   105.5;    56.6;    61.9;    68.7;    73.5;
1887;07;    66.2;    66.1;    76.1;    81.2;    81.2;    60.0;    83.8;    83.8;    77.7;    57.3;    78.6;    65.2;    75.4;    74.1;    73.4;    72.5;    75.4;
1888;07;    72.6;    72.7;   146.3;   148.9;   120.4;   125.5;   123.9;   124.2;   146.7;   133.5;   148.1;   147.1;    86.3;    64.1;    77.5;    94.2;   123.9;
1889;07;    69.7;    69.7;   103.4;   120.0;    84.9;    88.1;    94.1;    94.5;   116.9;    74.2;    95.7;    71.1;    87.8;    66.6;    72.8;    80.6;    95.6;
1890;07;    67.1;    67.2;    97.2;   120.4;    92.6;    78.4;   103.3;   103.8;   119.7;   102.8;   103.7;   106.9;    90.2;    63.5;    68.2;    74.2;    98.1;
1891;07;   121.7;   121.7;   132.2;   155.7;    83.0;   105.0;   118.7;   119.0;   107.9;    83.9;   124.4;    80.5;   141.5;   107.7;   101.3;    93.3;   121.0;
1892;07;    33.2;    33.1;    82.1;   108.7;    39.7;    38.9;    39.6;    39.6;    49.5;    46.7;    38.9;    41.4;    42.7;    30.2;    32.6;    35.5;    57.7;
1893;07;    61.3;    61.2;   114.4;   145.2;   113.7;    52.5;    68.5;    68.3;    89.6;    93.0;    73.9;    96.2;    96.8;    64.5;    78.0;    95.1;    95.5;
1894;07;    53.1;    53.7;   125.3;   116.9;   115.6;    61.9;    95.7;    95.3;   109.0;    78.6;    86.4;    59.2;   119.7;    70.0;    94.9;   126.3;    98.9;
1895;07;    55.3;    55.6;    71.5;    84.4;    67.2;    86.7;   117.1;   117.3;   102.0;    68.0;   117.8;    84.2;    55.6;    63.6;    60.2;    56.0;    82.5;
1896;07;    82.7;    82.7;   109.2;   108.9;    86.4;    89.1;    91.4;    91.6;   106.6;   105.9;    86.7;   102.7;   113.4;    74.8;    83.7;    94.9;    97.9;
1897;07;   119.3;   119.2;    78.4;   143.7;    49.3;   110.9;    74.1;    74.4;    70.1;    52.3;    90.5;    51.0;   191.8;    84.3;    81.8;    78.6;    99.2;
1898;07;    86.9;    86.6;   105.9;   105.4;   111.8;    83.1;   103.4;   102.9;   121.6;    99.6;    57.9;    71.4;    93.8;    89.0;    89.3;    89.7;    99.1;
1899;07;   111.0;   111.4;    82.9;    81.0;    99.0;    86.6;    89.3;    88.8;   106.2;    77.9;    96.1;    89.3;   136.5;   122.9;   118.7;   113.4;    95.9;
1900;07;    58.4;    58.5;   118.8;   101.8;    96.7;    47.4;    84.3;    84.2;   100.5;    90.7;    75.8;    79.4;    81.7;    60.4;    72.5;    87.7;    87.4;
1901;07;    60.5;    60.6;   107.0;   123.1;    74.4;    55.5;    71.2;    70.9;    42.6;    58.6;    56.8;    42.5;    83.3;    73.7;    95.5;   122.9;    82.2;
1902;07;    70.3;    70.7;    83.3;    87.3;    55.1;    65.8;    81.2;    81.2;    82.7;    45.2;    74.3;    41.6;    93.5;    79.6;    80.7;    82.1;    77.4;
1903;07;    46.4;    46.4;   130.3;   142.3;    93.1;    48.1;   102.4;   102.6;   121.3;    89.0;   105.6;    92.4;    71.3;    57.8;    70.3;    85.9;   100.6;
1904;07;    18.9;    18.6;    32.8;    32.9;    25.7;    30.7;    27.3;    27.5;    32.2;    39.1;    35.1;    45.0;    19.0;    19.5;    21.2;    23.3;    29.0;
1905;07;   140.0;   141.2;    80.1;    78.7;    83.8;    96.0;   107.3;   106.9;   120.0;    77.9;    54.8;    38.6;   137.3;   127.2;   112.4;    93.7;    98.4;
1906;07;    74.4;    75.0;   125.9;   132.7;    88.3;    51.4;    85.0;    84.6;    88.6;    65.4;    54.0;    78.0;    95.7;   111.1;   105.2;    97.8;    96.2;
1907;07;   177.7;   176.9;    96.2;   124.8;    88.1;   121.6;    64.7;    64.4;    81.9;    93.3;    40.3;    95.6;   192.7;   142.4;   131.6;   117.9;   110.5;
1908;07;    74.8;    75.0;   107.0;    99.3;    70.1;    83.2;    84.1;    84.4;    84.8;    77.9;    93.7;    57.7;   104.0;    73.1;    76.4;    80.6;    88.1;
1909;07;    76.2;    76.7;   136.1;   169.8;   101.3;    78.8;   118.7;   118.7;   122.8;   105.2;   110.5;   127.7;   128.5;    69.6;    80.5;    94.1;   119.4;
1910;07;    86.6;    86.8;   131.1;   135.1;   106.7;   105.5;   117.1;   117.1;   148.0;   120.2;   104.6;   151.0;   136.4;    84.1;    89.9;    97.1;   119.2;
1911;07;    29.9;    29.9;    25.4;    32.8;    35.8;    37.4;    33.2;    33.3;    31.1;    25.2;    45.2;    27.5;    32.9;    31.8;    32.0;    32.2;    32.2;
1912;07;    40.7;    41.1;   124.5;   116.2;    60.7;    46.1;    68.6;    68.6;    45.3;    54.1;    55.6;    58.3;    67.7;    53.5;    57.8;    63.3;    74.6;
1913;07;    51.1;    51.1;   113.9;   122.0;    73.8;    54.8;    82.0;    82.3;    91.3;    96.8;    74.8;    90.0;    63.8;    53.1;    51.5;    49.4;    85.9;
1914;07;   100.0;    99.7;   143.0;   143.6;   117.9;   100.6;   127.6;   127.7;   107.0;    95.1;   143.7;    89.3;   113.8;   117.1;   133.9;   155.0;   124.3;
1915;07;    61.0;    61.2;   100.7;   112.9;    76.2;    63.0;    96.7;    97.0;   110.9;    74.2;   113.4;    83.8;    69.1;    55.4;    56.9;    58.7;    89.3;
1916;07;    73.9;    73.7;   112.1;   118.9;    88.1;    67.3;    75.5;    75.1;    78.7;    68.8;    61.3;    67.8;    78.7;    68.5;    78.4;    90.9;    87.6;
1917;07;    61.7;    62.1;    93.7;    93.2;    59.1;    53.3;    67.7;    67.6;    92.1;    62.8;    66.0;    78.0;    77.5;    55.7;    57.5;    59.7;    75.1;
1918;07;    82.2;    82.5;    77.1;   124.0;    66.0;    69.7;    71.6;    71.7;    86.7;    62.0;    74.5;    58.6;   140.4;    71.0;    74.0;    77.8;    88.1;
