Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20240415
Jahr;Monat;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1881;12;     1.41;     1.39;     0.09;    -0.36;     0.81;     1.61;     1.92;     1.93;     1.85;     0.95;     2.22;     0.97;     0.50;     1.31;     0.91;     0.41;     0.92;
1882;12;     0.50;     0.49;     0.95;    -0.41;     1.04;    -0.34;     0.93;     0.92;     2.01;     1.83;     0.08;     1.93;     0.32;     0.46;     0.31;     0.12;     0.58;
1883;12;     1.40;     1.39;    -0.03;    -1.01;     1.06;     1.68;     2.09;     2.09;     2.04;     1.28;     2.16;     1.27;     0.14;     1.32;     0.88;     0.32;     0.84;
1884;12;     2.50;     2.49;     1.02;     0.16;     1.92;     2.33;     2.46;     2.47;     2.68;     2.14;     2.24;     2.12;     1.49;     2.21;     1.77;     1.22;     1.69;
1885;12;     0.37;     0.36;    -0.94;    -1.90;    -0.66;     0.79;     0.92;     0.92;     0.72;    -0.45;     1.32;    -0.35;    -0.81;     0.22;    -0.24;    -0.82;    -0.27;
1886;12;     1.27;     1.27;     0.66;    -0.22;     0.95;     1.03;     1.26;     1.26;     1.47;     1.14;     0.98;     1.10;     0.45;     1.20;     0.86;     0.44;     0.79;
1887;12;     0.18;     0.17;    -1.72;    -2.89;    -1.11;     0.38;     0.51;     0.51;     0.36;    -0.62;     0.68;    -0.52;    -1.12;     0.01;    -0.67;    -1.53;    -0.80;
1888;12;     1.33;     1.32;    -0.52;    -1.14;    -0.11;     1.79;     1.99;     2.00;     1.98;    -0.08;     2.36;     0.15;     0.61;     1.12;     0.56;    -0.14;     0.59;
1889;12;    -0.67;    -0.68;    -2.39;    -3.16;    -2.01;    -0.55;    -0.30;    -0.29;    -0.72;    -2.04;     0.06;    -2.01;    -1.85;    -0.80;    -1.41;    -2.18;    -1.55;
1890;12;    -5.23;    -5.24;    -5.51;    -5.87;    -5.27;    -4.78;    -5.00;    -4.98;    -5.22;    -5.02;    -3.53;    -4.68;    -5.22;    -5.57;    -5.85;    -6.20;    -5.30;
1891;12;     2.44;     2.43;     1.05;    -0.17;     1.61;     2.29;     2.71;     2.71;     3.00;     1.93;     2.64;     2.36;     1.54;     2.63;     1.88;     0.93;     1.69;
1892;12;    -1.20;    -1.21;    -2.56;    -3.79;    -2.21;    -1.09;    -0.35;    -0.35;    -0.67;    -2.21;    -0.70;    -2.10;    -2.09;    -0.98;    -1.65;    -2.50;    -1.87;
1893;12;     1.06;     1.05;    -0.75;    -1.97;    -0.12;     1.43;     2.04;     2.05;     1.91;     0.05;     2.42;     0.19;     0.10;     0.88;     0.15;    -0.77;     0.30;
1894;12;     0.68;     0.68;    -0.61;    -1.44;     0.40;     1.14;     2.12;     2.13;     2.36;     0.62;     2.33;     0.73;     0.24;     0.95;     0.43;    -0.23;     0.52;
1895;12;    -0.43;    -0.43;     0.66;    -1.10;    -0.15;    -0.42;     0.53;     0.53;     0.89;     0.52;     0.57;     0.81;    -0.64;    -0.05;    -0.48;    -1.02;    -0.09;
1896;12;    -0.63;    -0.64;    -0.27;    -1.79;    -0.36;    -0.75;     0.59;     0.59;     1.05;    -0.01;    -0.02;     0.34;    -0.94;    -0.37;    -0.92;    -1.61;    -0.47;
1897;12;     1.74;     1.73;     0.48;    -0.88;     1.05;     2.03;     2.75;     2.76;     2.45;     1.05;     2.88;     1.51;     1.28;     2.17;     1.61;     0.90;     1.25;
1898;12;     3.94;     3.93;     1.78;     0.36;     2.99;     4.13;     4.78;     4.78;     4.48;     3.02;     4.85;     3.02;     2.99;     4.15;     3.50;     2.68;     3.02;
1899;12;    -3.45;    -3.45;    -2.96;    -5.35;    -2.82;    -3.05;    -2.22;    -2.21;    -1.69;    -2.21;    -1.93;    -1.95;    -3.57;    -3.22;    -3.64;    -4.17;    -3.26;
1900;12;     2.95;     2.94;     2.50;     1.09;     2.76;     3.45;     4.02;     4.03;     4.09;     3.17;     4.13;     3.50;     2.35;     3.18;     2.75;     2.20;     2.83;
1901;12;     1.07;     1.06;     0.93;     0.09;     0.91;     0.62;     1.59;     1.59;     1.87;     1.50;     1.11;     1.70;     0.82;     1.05;     0.63;     0.10;     0.94;
1902;12;    -2.53;    -2.54;    -1.56;    -2.76;    -2.01;    -1.74;    -1.02;    -1.01;    -0.44;    -0.75;    -0.05;    -0.32;    -3.03;    -2.41;    -2.85;    -3.41;    -1.82;
