Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.04.2024 19:12"
Zeitbezug:;MEZ
Messstellen-Name:;Schwabelweis
Messstellen-Nr.:;10062000
Gewässer:;Donau
Ostwert:;729451;Nordwert:;5434823;"ETRS89 / UTM Zone 32N"
Pegelnullpunktshöhe:;"324,45 m NHN (DHHN2016)"

"Tageswerte Abfluss [m³/s]"
Datum;Mittelwert;Maximum;Minimum;Prüfstatus
2014-01-01;305;339;268;Geprueft
2014-01-02;274;316;237;Geprueft
2014-01-03;286;323;245;Geprueft
2014-01-04;305;331;260;Geprueft
2014-01-05;351;370;331;Geprueft
2014-01-06;364;408;331;Geprueft
2014-01-07;374;408;354;Geprueft
2014-01-08;319;354;276;Geprueft
2014-01-09;290;339;260;Geprueft
2014-01-10;265;323;237;Geprueft
2014-01-11;370;422;323;Geprueft
2014-01-12;385;422;339;Geprueft
2014-01-13;327;339;307;Geprueft
2014-01-14;328;354;307;Geprueft
2014-01-15;386;472;307;Geprueft
2014-01-16;458;486;436;Geprueft
2014-01-17;415;451;370;Geprueft
2014-01-18;403;436;362;Geprueft
2014-01-19;402;429;370;Geprueft
2014-01-20;355;370;331;Geprueft
2014-01-21;350;400;323;Geprueft
2014-01-22;372;429;323;Geprueft
2014-01-23;399;422;369;Geprueft
2014-01-24;354;369;331;Geprueft
2014-01-25;334;354;315;Geprueft
2014-01-26;312;330;291;Geprueft
2014-01-27;360;407;323;Geprueft
2014-01-28;390;414;354;Geprueft
2014-01-29;404;436;385;Geprueft
2014-01-30;351;385;338;Geprueft
2014-01-31;348;377;315;Geprueft
2014-02-01;304;322;275;Geprueft
2014-02-02;284;307;267;Geprueft
2014-02-03;309;330;291;Geprueft
2014-02-04;354;384;307;Geprueft
2014-02-05;343;384;307;Geprueft
2014-02-06;297;330;267;Geprueft
2014-02-07;303;338;267;Geprueft
2014-02-08;313;354;283;Geprueft
2014-02-09;294;353;267;Geprueft
2014-02-10;343;369;299;Geprueft
2014-02-11;293;306;267;Geprueft
2014-02-12;308;338;283;Geprueft
2014-02-13;283;306;259;Geprueft
2014-02-14;290;330;259;Geprueft
2014-02-15;300;338;275;Geprueft
2014-02-16;359;392;330;Geprueft
2014-02-17;328;353;306;Geprueft
2014-02-18;384;450;353;Geprueft
2014-02-19;321;353;275;Geprueft
2014-02-20;275;290;243;Geprueft
2014-02-21;280;298;251;Geprueft
2014-02-22;345;376;283;Geprueft
2014-02-23;323;353;306;Geprueft
2014-02-24;278;322;243;Geprueft
2014-02-25;264;298;235;Geprueft
2014-02-26;297;330;275;Geprueft
2014-02-27;282;322;211;Geprueft
2014-02-28;238;259;203;Geprueft
2014-03-01;292;337;251;Geprueft
2014-03-02;297;337;267;Geprueft
2014-03-03;259;282;219;Geprueft
2014-03-04;226;251;195;Geprueft
2014-03-05;257;290;203;Geprueft
2014-03-06;244;274;219;Geprueft
2014-03-07;254;290;219;Geprueft
2014-03-08;212;251;187;Geprueft
2014-03-09;209;235;179;Geprueft
2014-03-10;204;235;179;Geprueft
2014-03-11;227;266;187;Geprueft
2014-03-12;212;250;179;Geprueft
2014-03-13;199;227;179;Geprueft
2014-03-14;209;305;163;Geprueft
2014-03-15;262;313;211;Geprueft
2014-03-16;239;282;195;Geprueft
2014-03-17;274;337;234;Geprueft
2014-03-18;302;321;282;Geprueft
2014-03-19;238;305;203;Geprueft
2014-03-20;212;274;179;Geprueft
2014-03-21;271;290;250;Geprueft
2014-03-22;261;282;226;Geprueft
2014-03-23;285;329;250;Geprueft
2014-03-24;344;390;305;Geprueft
2014-03-25;375;390;352;Geprueft
2014-03-26;340;360;305;Geprueft
2014-03-27;290;313;258;Geprueft
2014-03-28;248;258;242;Geprueft
2014-03-29;245;305;202;Geprueft
2014-03-30;283;313;242;Geprueft
2014-03-31;249;266;234;Geprueft
2014-04-01;262;305;226;Geprueft
2014-04-02;250;281;218;Geprueft
2014-04-03;250;266;226;Geprueft
2014-04-04;205;250;178;Geprueft
2014-04-05;245;265;226;Geprueft
2014-04-06;221;258;194;Geprueft
2014-04-07;236;273;202;Geprueft
2014-04-08;252;273;226;Geprueft
2014-04-09;242;273;218;Geprueft
2014-04-10;213;226;202;Geprueft
2014-04-11;213;226;202;Geprueft
2014-04-12;202;218;178;Geprueft
2014-04-13;215;234;194;Geprueft
2014-04-14;213;265;194;Geprueft
2014-04-15;203;265;162;Geprueft
2014-04-16;181;194;170;Geprueft
2014-04-17;172;194;138;Geprueft
2014-04-18;142;194;102;Geprueft
2014-04-19;213;257;170;Geprueft
2014-04-20;228;249;202;Geprueft
2014-04-21;188;210;162;Geprueft
2014-04-22;196;233;162;Geprueft
2014-04-23;189;225;154;Geprueft
2014-04-24;184;217;154;Geprueft
2014-04-25;175;209;146;Geprueft
2014-04-26;174;217;138;Geprueft
2014-04-27;237;304;193;Geprueft
2014-04-28;285;328;241;Geprueft
2014-04-29;283;335;241;Geprueft
2014-04-30;272;296;225;Geprueft
2014-05-01;215;257;161;Geprueft
2014-05-02;271;335;209;Geprueft
2014-05-03;350;374;320;Geprueft
2014-05-04;350;397;296;Geprueft
2014-05-05;306;343;257;Geprueft
2014-05-06;253;272;233;Geprueft
2014-05-07;230;264;193;Geprueft
2014-05-08;263;319;201;Geprueft
2014-05-09;343;374;312;Geprueft
2014-05-10;271;359;217;Geprueft
2014-05-11;294;335;256;Geprueft
2014-05-12;278;312;249;Geprueft
2014-05-13;321;358;288;Geprueft
2014-05-14;322;343;304;Geprueft
2014-05-15;361;419;296;Geprueft
2014-05-16;354;419;319;Geprueft
2014-05-17;328;351;264;Geprueft
2014-05-18;251;264;233;Geprueft
2014-05-19;294;327;240;Geprueft
2014-05-20;310;350;272;Geprueft
2014-05-21;302;343;248;Geprueft
2014-05-22;238;264;217;Geprueft
2014-05-23;219;248;185;Geprueft
2014-05-24;244;272;224;Geprueft
2014-05-25;209;240;185;Geprueft
2014-05-26;229;303;185;Geprueft
2014-05-27;376;426;295;Geprueft
2014-05-28;352;433;295;Geprueft
2014-05-29;500;575;433;Geprueft
