Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.04.2024 19:09"
Zeitbezug:;MEZ
Messstellen-Name:;Chamerau
Messstellen-Nr.:;15202300
Gewässer:;Regen
Ostwert:;772999;Nordwert:;5454387;"ETRS89 / UTM Zone 32N"
Pegelnullpunktshöhe:;"371,23 m NHN (DHHN2016)"

"Tageswerte Abfluss [m³/s]"
Datum;Mittelwert;Maximum;Minimum;Prüfstatus
2019-01-01;35,6;37,3;33,3;Geprueft
2019-01-02;42,7;51,4;35,6;Geprueft
2019-01-03;30;35,6;26;Geprueft
2019-01-04;24,5;26;23,7;Geprueft
2019-01-05;24,8;26,5;24,1;Geprueft
2019-01-06;27,5;28,5;26,5;Geprueft
2019-01-07;28,1;32,3;27;Geprueft
2019-01-08;34,1;39,8;32,3;Geprueft
2019-01-09;42,1;46,2;36,8;Geprueft
2019-01-10;30,8;36,8;25,6;Geprueft
2019-01-11;26,6;31,2;24,2;Geprueft
2019-01-12;25,6;27,1;23,3;Geprueft
2019-01-13;29,8;41,8;25,1;Geprueft
2019-01-14;60,1;69,6;41,8;Geprueft
2019-01-15;41,3;53,6;34,6;Geprueft
2019-01-16;31,6;34,6;30,2;Geprueft
2019-01-17;28,6;30,2;26,6;Geprueft
2019-01-18;30,8;34,6;27,7;Geprueft
2019-01-19;24,7;27,7;22;Geprueft
2019-01-20;20,6;22;19,4;Geprueft
2019-01-21;19,4;19,4;19,3;Geprueft
2019-01-22;19,3;19,3;19,2;Geprueft
2019-01-23;19,1;19,2;19,1;Geprueft
2019-01-24;19;19,1;19;Geprueft
2019-01-25;18,9;19;18,9;Geprueft
2019-01-26;18,8;18,9;18,7;Geprueft
2019-01-27;19,6;22,1;18,7;Geprueft
2019-01-28;21;22,1;19,9;Geprueft
2019-01-29;19,3;20,8;17,9;Geprueft
2019-01-30;17,5;22,1;15,7;Geprueft
2019-01-31;17,8;18,7;16,4;Geprueft
2019-02-01;16,8;17,2;16,4;Geprueft
2019-02-02;18,6;20,8;16,8;Geprueft
2019-02-03;21;21,7;19,6;Geprueft
2019-02-04;19,4;20,8;17,2;Geprueft
2019-02-05;21;28,9;16,5;Geprueft
2019-02-06;20,8;25,9;17,6;Geprueft
2019-02-07;17,6;20;15,4;Geprueft
2019-02-08;19;20,5;16,1;Geprueft
2019-02-09;19,1;20,5;17,6;Geprueft
2019-02-10;22,1;40,3;20;Geprueft
2019-02-11;45,4;48,6;39;Geprueft
2019-02-12;30,6;39;25,5;Geprueft
2019-02-13;24,7;25,5;23,6;Geprueft
2019-02-14;23;23,6;21,4;Geprueft
2019-02-15;21,2;23,1;20,5;Geprueft
2019-02-16;21,4;22,3;20,9;Geprueft
2019-02-17;21,8;22,3;21,4;Geprueft
2019-02-18;22,1;22,3;21,8;Geprueft
2019-02-19;22,2;22,7;21,8;Geprueft
2019-02-20;23,3;24,6;22,3;Geprueft
2019-02-21;23,7;24,1;22,8;Geprueft
2019-02-22;32,1;48,8;23,2;Geprueft
2019-02-23;40,7;50,8;32,2;Geprueft
2019-02-24;27,9;32,2;25,1;Geprueft
2019-02-25;24,7;25,6;24,2;Geprueft
2019-02-26;26,8;28,1;25,1;Geprueft
2019-02-27;29,5;33,4;28,1;Geprueft
2019-02-28;34,9;41,1;32,3;Geprueft
2019-03-01;52,1;72,7;40,5;Geprueft
2019-03-02;84,1;92,3;72,7;Geprueft
2019-03-03;67,8;75,8;64,3;Geprueft
2019-03-04;65,8;74,5;58,7;Geprueft
2019-03-05;65,8;71,4;58,8;Geprueft
2019-03-06;59;66,1;52,5;Geprueft
2019-03-07;52,9;56,6;49,1;Geprueft
2019-03-08;55,1;62,4;49,8;Geprueft
2019-03-09;50,5;53,2;47,2;Geprueft
2019-03-10;81,8;148;51,8;Geprueft
2019-03-11;96,9;142;66,3;Geprueft
2019-03-12;60;67,2;55;Geprueft
2019-03-13;52,3;57,4;47,2;Geprueft
2019-03-14;49,4;71,5;45,2;Geprueft
2019-03-15;81,7;119;70,4;Geprueft
2019-03-16;233;319;119;Geprueft
2019-03-17;139;214;109;Geprueft
2019-03-18;102;112;86,8;Geprueft
2019-03-19;76;86,8;67;Geprueft
2019-03-20;62,4;67;56,8;Geprueft
2019-03-21;54,4;56,8;51,3;Geprueft
2019-03-22;50,3;51,9;47,3;Geprueft
2019-03-23;51;53,3;47,3;Geprueft
2019-03-24;51,7;54;49,3;Geprueft
2019-03-25;51,9;56,1;48,6;Geprueft
2019-03-26;45,5;48,6;42,8;Geprueft
2019-03-27;41,7;42,8;39,7;Geprueft
2019-03-28;38,6;40,2;37,2;Geprueft
2019-03-29;37,2;38,4;36,6;Geprueft
2019-03-30;37,6;38,4;36,6;Geprueft
2019-03-31;36,8;37,2;32,1;Geprueft
2019-04-01;37,4;38,4;34,3;Geprueft
2019-04-02;38,1;39,7;36,7;Geprueft
2019-04-03;37,9;39,7;36,1;Geprueft
2019-04-04;39;41,2;37,3;Geprueft
2019-04-05;38,9;40,3;37,3;Geprueft
2019-04-06;36,2;37,9;36,1;Geprueft
2019-04-07;37,4;40,3;35,5;Geprueft
2019-04-08;34,4;35,6;33,3;Geprueft
2019-04-09;37,6;39,7;35;Geprueft
2019-04-10;35,6;36,7;33,3;Geprueft
2019-04-11;32,8;33,9;31,1;Geprueft
2019-04-12;29,8;31,1;28;Geprueft
2019-04-13;27,8;28,5;27;Geprueft
2019-04-14;26,4;28;25,6;Geprueft
2019-04-15;25,8;27;25,1;Geprueft
2019-04-16;24,8;25,3;24,3;Geprueft
2019-04-17;24,4;25;24,1;Geprueft
2019-04-18;23,8;24,8;23,3;Geprueft
2019-04-19;24,6;25;24;Geprueft
2019-04-20;24,7;25,2;24,1;Geprueft
2019-04-21;25,1;25,4;24,8;Geprueft
2019-04-22;25,5;25,9;24,9;Geprueft
2019-04-23;25,2;25,7;24,7;Geprueft
2019-04-24;25,6;25,8;25,3;Geprueft
2019-04-25;25;25,8;23,4;Geprueft
2019-04-26;23,4;24,8;22,4;Geprueft
2019-04-27;22,7;24,2;22,4;Geprueft
2019-04-28;24,5;25,1;23,7;Geprueft
2019-04-29;22,8;24,1;21,9;Geprueft
2019-04-30;26,9;27,9;24,1;Geprueft
2019-05-01;23,4;27,9;21,3;Geprueft
2019-05-02;20,7;21,3;19,9;Geprueft
2019-05-03;20,9;22;20,3;Geprueft
2019-05-04;22,8;24,2;21,1;Geprueft
2019-05-05;24,1;25,2;22,8;Geprueft
2019-05-06;20,7;22,8;19,3;Geprueft
2019-05-07;18,3;19,7;17,7;Geprueft
2019-05-08;17,7;18,4;17,3;Geprueft
2019-05-09;17,5;18,3;17,2;Geprueft
2019-05-10;21,1;23;18,3;Geprueft
2019-05-11;20;21,6;18,6;Geprueft
2019-05-12;22,2;23,8;20,7;Geprueft
2019-05-13;19,8;22;18,5;Geprueft
2019-05-14;17,1;19,7;15,9;Geprueft
2019-05-15;16,6;17,3;15,8;Geprueft
2019-05-16;17,9;18,8;17,3;Geprueft
2019-05-17;19,6;23,9;17,9;Geprueft
2019-05-18;17,6;18,3;16;Geprueft
2019-05-19;15,8;17,4;15;Geprueft
2019-05-20;23,4;29,1;17,4;Geprueft
2019-05-21;35,3;39,8;27,1;Geprueft
2019-05-22;34,1;38,5;28,4;Geprueft
2019-05-23;24,4;28,4;21,7;Geprueft
2019-05-24;19,7;21,7;18;Geprueft
2019-05-25;18,3;19,2;16,8;Geprueft
2019-05-26;17,8;18,4;16,8;Geprueft
2019-05-27;16;17,6;14,4;Geprueft
2019-05-28;29,1;36,5;16,8;Geprueft
2019-05-29;28,4;31,4;24,4;Geprueft
2019-05-30;22,4;24,4;19,9;Geprueft
2019-05-31;18,2;19,9;16,4;Geprueft
2019-06-01;16,7;16,8;16,4;Geprueft
2019-06-02;16;16,4;15,3;Geprueft
2019-06-03;15,2;15,7;14,6;Geprueft
2019-06-04;13,8;15,3;13,3;Geprueft
2019-06-05;14,9;15,7;13,3;Geprueft
2019-06-06;15,5;16,4;13,3;Geprueft
2019-06-07;14,3;16;12,7;Geprueft
2019-06-08;14;16;13;Geprueft
2019-06-09;12,4;13;11,8;Geprueft
2019-06-10;12,4;12,7;12,1;Geprueft
2019-06-11;12,8;14,2;12,4;Geprueft
2019-06-12;13,1;14,2;12,4;Geprueft
2019-06-13;11,3;12,4;10,6;Geprueft
2019-06-14;10,8;11,2;10,6;Geprueft
2019-06-15;11;11,5;10,4;Geprueft
2019-06-16;15,2;20,6;10,4;Geprueft
2019-06-17;14,3;18,9;11,7;Geprueft
2019-06-18;11,5;12;10,6;Geprueft
2019-06-19;11,9;12,9;11,1;Geprueft
2019-06-20;12,6;14,8;10,9;Geprueft
2019-06-21;13,7;15,1;10,9;Geprueft
2019-06-22;12,5;14,8;11,4;Geprueft
2019-06-23;12,2;13,5;11,1;Geprueft
2019-06-24;12,8;13,8;11,1;Geprueft
2019-06-25;10,5;11,1;10;Geprueft
2019-06-26;9,55;10;9,32;Geprueft
2019-06-27;9,53;9,76;9,31;Geprueft
2019-06-28;9,35;9,53;9,3;Geprueft
2019-06-29;8,97;9,52;8,65;Geprueft
2019-06-30;9;9,07;8,65;Geprueft
2019-07-01;9,03;9,73;8,64;Geprueft
2019-07-02;10;10,5;9,49;Geprueft
2019-07-03;9,17;9,72;7,45;Geprueft
2019-07-04;8,93;9,71;8,02;Geprueft
2019-07-05;7,95;8,02;7,82;Geprueft
2019-07-06;8,12;8,21;8,01;Geprueft
2019-07-07;8,79;9,03;8,2;Geprueft
2019-07-08;9,1;9,24;9,02;Geprueft
2019-07-09;9,05;9,45;8,38;Geprueft
2019-07-10;8,64;10,2;8,18;Geprueft
2019-07-11;8,95;10,4;7,98;Geprueft
2019-07-12;8,92;9,43;8,17;Geprueft
2019-07-13;22,2;27,2;9,43;Geprueft
2019-07-14;16,3;20,3;12,4;Geprueft
2019-07-15;11,9;12,4;11,2;Geprueft
2019-07-16;9,72;11,2;8,75;Geprueft
2019-07-17;8,92;9,62;8,75;Geprueft
2019-07-18;8,7;8,75;8,53;Geprueft
2019-07-19;8,41;8,74;8,32;Geprueft
2019-07-20;8,46;8,53;8,32;Geprueft
2019-07-21;10,1;13,2;8,32;Geprueft
2019-07-22;11,7;13,2;10,6;Geprueft
2019-07-23;9,24;10,6;8,3;Geprueft
2019-07-24;7,96;8,3;7,9;Geprueft
2019-07-25;7,65;7,9;7,51;Geprueft
2019-07-26;7,57;8,49;7,32;Geprueft
2019-07-27;7,98;8,89;7,32;Geprueft
2019-07-28;10,2;11,1;8,68;Geprueft
2019-07-29;9,6;11,1;8,88;Geprueft
2019-07-30;9,78;10;9,09;Geprueft
2019-07-31;9,18;9,77;8,43;Geprueft
2019-08-01;9,27;10,8;8,43;Geprueft
2019-08-02;8,83;9,23;8,56;Geprueft
2019-08-03;8,31;8,56;7,93;Geprueft
2019-08-04;8,15;8,3;7,92;Geprueft
2019-08-05;8,59;9,8;7,87;Geprueft
2019-08-06;8,57;10,5;7,27;Geprueft
2019-08-07;12,3;13,7;10,5;Geprueft
2019-08-08;9,62;11,3;8,97;Geprueft
2019-08-09;8,57;9,42;7,91;Geprueft
2019-08-10;8,67;9,84;7,71;Geprueft
2019-08-11;10,7;11,7;9,83;Geprueft
2019-08-12;14,1;15,4;11,7;Geprueft
2019-08-13;14,4;15;13,3;Geprueft
2019-08-14;10,9;13,3;9,02;Geprueft
2019-08-15;8,46;9,02;8,16;Geprueft
2019-08-16;8,03;8,19;7,97;Geprueft
2019-08-17;8,43;10;7,99;Geprueft
2019-08-18;10,1;10,3;10;Geprueft
2019-08-19;9,14;10,3;8,44;Geprueft
2019-08-20;8,98;11,2;8,66;Geprueft
2019-08-21;14,3;15,9;11,2;Geprueft
2019-08-22;10,8;14,8;9,14;Geprueft
2019-08-23;8,33;9,15;7,74;Geprueft
2019-08-24;7,77;8,15;7,74;Geprueft
2019-08-25;10,6;12,4;8,15;Geprueft
2019-08-26;11,3;15,7;9,46;Geprueft
2019-08-27;13,6;16,8;11,1;Geprueft
2019-08-28;9,42;11,1;8,02;Geprueft
2019-08-29;7,8;8,04;7,46;Geprueft
2019-08-30;7,55;7,85;7,47;Geprueft
2019-08-31;7,62;7,7;7,49;Geprueft
2019-09-01;8,58;10,6;7,51;Geprueft
2019-09-02;9,19;11,2;7,54;Geprueft
2019-09-03;7,13;7,54;7,01;Geprueft
2019-09-04;7,02;7,04;6,85;Geprueft
2019-09-05;7,06;7,22;7,04;Geprueft
2019-09-06;6,99;7,24;6,89;Geprueft
2019-09-07;9,17;10,5;6,89;Geprueft
2019-09-08;10,4;12,5;9,99;Geprueft
2019-09-09;14,6;17,9;12,2;Geprueft
2019-09-10;13,2;16,7;10;Geprueft
2019-09-11;8,79;10;8,11;Geprueft
2019-09-12;7,75;8,11;7,42;Geprueft
2019-09-13;7,12;7,42;6,94;Geprueft
