Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.04.2024 19:12"
Zeitbezug:;MEZ
Messstellen-Name:;Kienhof
Messstellen-Nr.:;15205501
Gewässer:;Regen
Ostwert:;754654;Nordwert:;5454455;"ETRS89 / UTM Zone 32N"
Pegelnullpunktshöhe:;"354,09 m NHN (DHHN2016)"

"Tageswerte Abfluss [m³/s]"
Datum;Mittelwert;Maximum;Minimum;Prüfstatus
2014-01-01;17,2;18,1;16,4;Geprueft
2014-01-02;17;17,5;16,4;Geprueft
2014-01-03;16,6;17,5;16,4;Geprueft
2014-01-04;16,6;17,5;16,4;Geprueft
2014-01-05;18,4;20;17,5;Geprueft
2014-01-06;21,4;21,9;20;Geprueft
2014-01-07;19,6;21,9;18,1;Geprueft
2014-01-08;18,4;18,7;18,1;Geprueft
2014-01-09;17,8;18,7;17,5;Geprueft
2014-01-10;18,9;21,2;17,5;Geprueft
2014-01-11;22,2;23,9;21,2;Geprueft
2014-01-12;20,2;21,9;18,7;Geprueft
2014-01-13;19,4;20,6;18,1;Geprueft
2014-01-14;19,2;20,6;18,1;Geprueft
2014-01-15;19,5;20,6;18,7;Geprueft
2014-01-16;20,3;21,2;18,7;Geprueft
2014-01-17;18,6;19,3;18,1;Geprueft
2014-01-18;20,1;21,2;19,3;Geprueft
2014-01-19;20,8;21,9;19,3;Geprueft
2014-01-20;19;19,3;18,7;Geprueft
2014-01-21;18,4;19,3;18,1;Geprueft
2014-01-22;19,8;20,6;19,3;Geprueft
2014-01-23;19,7;20,6;19,3;Geprueft
2014-01-24;19,1;20;18,7;Geprueft
2014-01-25;20;21,9;18,7;Geprueft
2014-01-26;19,2;19,3;18,7;Geprueft
2014-01-27;18,9;20;18,1;Geprueft
2014-01-28;18,2;18,7;18,1;Geprueft
2014-01-29;18,6;20;17,5;Geprueft
2014-01-30;17,6;18,7;16,9;Geprueft
2014-01-31;18,2;19,3;16,4;Geprueft
2014-02-01;16,9;17,5;16,4;Geprueft
2014-02-02;18,5;21,9;16,9;Geprueft
2014-02-03;20,1;22,6;18,1;Geprueft
2014-02-04;17,7;18,1;16,9;Geprueft
2014-02-05;17,1;17,5;16,4;Geprueft
2014-02-06;16,4;16,9;16,4;Geprueft
2014-02-07;18,3;18,7;16,9;Geprueft
2014-02-08;18,5;18,7;18,1;Geprueft
2014-02-09;18,6;18,7;18,1;Geprueft
2014-02-10;18,1;18,7;18,1;Geprueft
2014-02-11;17,7;18,1;16,9;Geprueft
2014-02-12;17,7;18,1;17,5;Geprueft
2014-02-13;17,3;18,1;16,4;Geprueft
2014-02-14;16,6;17,5;16,4;Geprueft
2014-02-15;18,5;18,7;17,5;Geprueft
2014-02-16;17,7;21,2;16,9;Geprueft
2014-02-17;24,3;28,9;18,1;Geprueft
2014-02-18;23,5;27,4;20,6;Geprueft
2014-02-19;19;20,6;18,7;Geprueft
2014-02-20;18,8;20,6;17,5;Geprueft
2014-02-21;17,5;18,1;17,5;Geprueft
2014-02-22;18,3;19,3;17,5;Geprueft
2014-02-23;19;20;18,1;Geprueft
2014-02-24;17,1;18,1;16,9;Geprueft
2014-02-25;16,7;17,5;16,4;Geprueft
2014-02-26;16,6;18,1;15,8;Geprueft
2014-02-27;17;18,7;15,8;Geprueft
2014-02-28;16,2;16,4;15,8;Geprueft
2014-03-01;16,3;16,4;15,8;Geprueft
2014-03-02;16,4;16,9;16,4;Geprueft
2014-03-03;16,2;16,4;15,8;Geprueft
2014-03-04;15,5;15,8;15,3;Geprueft
2014-03-05;15,3;15,3;15,3;Geprueft
2014-03-06;15,3;15,3;15,3;Geprueft
2014-03-07;15,3;15,3;14,8;Geprueft
2014-03-08;15;15,3;14,8;Geprueft
2014-03-09;14,6;15,3;14,2;Geprueft
2014-03-10;14,1;14,2;13,7;Geprueft
2014-03-11;14,2;14,8;13,7;Geprueft
2014-03-12;14,7;14,8;14,2;Geprueft
2014-03-13;14,4;15,8;13,7;Geprueft
2014-03-14;13,7;15,3;13,2;Geprueft
2014-03-15;14;15,3;13,7;Geprueft
2014-03-16;17;18,7;15,3;Geprueft
2014-03-17;19,7;20,6;18,7;Geprueft
2014-03-18;19,5;21,2;18,1;Geprueft
2014-03-19;17,3;18,1;16,3;Geprueft
2014-03-20;17,1;18,1;16,9;Geprueft
2014-03-21;16,7;16,9;16,3;Geprueft
2014-03-22;15,1;16,3;14,7;Geprueft
2014-03-23;16,7;20,5;14,7;Geprueft
2014-03-24;25,5;27,3;20,5;Geprueft
2014-03-25;25,2;26,6;23,1;Geprueft
2014-03-26;20,7;23,1;19,3;Geprueft
2014-03-27;17,9;19,3;17,4;Geprueft
2014-03-28;16,7;17,4;16,3;Geprueft
2014-03-29;16,1;16,3;15,7;Geprueft
2014-03-30;15,8;16,8;15,2;Geprueft
2014-03-31;15;15,2;14,7;Geprueft
2014-04-01;14,7;14,7;14,2;Geprueft
2014-04-02;14,5;14,7;14,1;Geprueft
2014-04-03;14;14,1;13,6;Geprueft
2014-04-04;13,6;13,6;13,1;Geprueft
2014-04-05;13,7;14,1;13,1;Geprueft
2014-04-06;13,2;14,1;12,6;Geprueft
2014-04-07;13,5;14,1;13,1;Geprueft
2014-04-08;13,4;14,1;13,1;Geprueft
2014-04-09;13,1;14,6;12,2;Geprueft
2014-04-10;14,7;15,1;14,1;Geprueft
2014-04-11;15;15,6;14,6;Geprueft
2014-04-12;14,4;15,6;13,6;Geprueft
2014-04-13;13,3;13,6;12,6;Geprueft
2014-04-14;14,1;16,2;13,1;Geprueft
2014-04-15;16,5;18,5;14,6;Geprueft
2014-04-16;17,3;18,5;16,1;Geprueft
2014-04-17;15,1;16,1;14,6;Geprueft
2014-04-18;15,2;16,7;14,6;Geprueft
2014-04-19;15,5;16,1;15,1;Geprueft
2014-04-20;16,2;17,9;15,1;Geprueft
2014-04-21;14,4;15,6;13,5;Geprueft
2014-04-22;14,1;14,5;13,5;Geprueft
2014-04-23;14,3;15;14;Geprueft
2014-04-24;13,6;14,5;13;Geprueft
2014-04-25;13;14;12,5;Geprueft
2014-04-26;12,5;13,5;11,6;Geprueft
2014-04-27;16,2;18,4;13,5;Geprueft
2014-04-28;15,8;17,8;14;Geprueft
2014-04-29;16,4;17,2;15;Geprueft
2014-04-30;17,3;19,3;16,1;Geprueft
2014-05-01;15,8;16,7;14,6;Geprueft
2014-05-02;14,2;15,1;13,2;Geprueft
2014-05-03;13,4;13,7;13,2;Geprueft
2014-05-04;13,8;15,3;13,2;Geprueft
2014-05-05;13,9;14,8;13,3;Geprueft
2014-05-06;13,1;13,3;12,4;Geprueft
2014-05-07;13,6;16;12,4;Geprueft
2014-05-08;20,7;24,2;16;Geprueft
2014-05-09;20,7;24,2;18,4;Geprueft
2014-05-10;18,5;19,7;17,8;Geprueft
2014-05-11;20,1;21;18,5;Geprueft
2014-05-12;18,9;23,1;16,7;Geprueft
2014-05-13;23,8;25,9;23,1;Geprueft
2014-05-14;21,4;23,2;19,3;Geprueft
2014-05-15;19,2;20;18,1;Geprueft
2014-05-16;16,4;18,1;15,3;Geprueft
2014-05-17;18,9;26,1;15,9;Geprueft
2014-05-18;31,5;40,8;26;Geprueft
2014-05-19;37,7;40,8;34,4;Geprueft
2014-05-20;27,6;34,4;21,5;Geprueft
2014-05-21;19,6;21,5;18,7;Geprueft
2014-05-22;17,5;19,2;16,1;Geprueft
2014-05-23;16,2;16,9;15,4;Geprueft
2014-05-24;15;16,6;13,1;Geprueft
2014-05-25;15,3;17;14,7;Geprueft
2014-05-26;14,9;16,2;14,4;Geprueft
2014-05-27;17,4;18,2;15,7;Geprueft
2014-05-28;40,2;109;17,6;Geprueft
2014-05-29;122;136;94,6;Geprueft
2014-05-30;76,2;94,6;52,1;Geprueft
2014-05-31;41,6;52,1;33,6;Geprueft
2014-06-01;30,3;33,9;26,7;Geprueft
2014-06-02;25,4;26,7;23,9;Geprueft
2014-06-03;22,6;23,9;21,9;Geprueft
2014-06-04;21,8;22,6;20,6;Geprueft
2014-06-05;20,2;20,6;19,8;Geprueft
2014-06-06;17,9;19,8;17,1;Geprueft
2014-06-07;16;17,7;14,9;Geprueft
2014-06-08;14,3;15,5;12,2;Geprueft
2014-06-09;12,9;14,6;12;Geprueft
2014-06-10;13,4;14,8;11,9;Geprueft
2014-06-11;12,2;13,4;11,2;Geprueft
2014-06-12;13;14,5;12,2;Geprueft
2014-06-13;11,8;12,7;10,7;Geprueft
2014-06-14;11,4;13,3;10,5;Geprueft
2014-06-15;12,2;14,5;11,5;Geprueft
2014-06-16;12,5;14,5;11,1;Geprueft
2014-06-17;11,2;11,7;10,7;Geprueft
2014-06-18;11,6;12,2;10,8;Geprueft
2014-06-19;11,3;12,2;10,4;Geprueft
2014-06-20;11,4;13,4;10,5;Geprueft
2014-06-21;12,4;14,4;11;Geprueft
2014-06-22;11,1;11,9;10,1;Geprueft
2014-06-23;9,45;10,1;8,36;Geprueft
2014-06-24;9,95;13,2;8,35;Geprueft
2014-06-25;13,3;14,2;12,7;Geprueft
2014-06-26;15,5;16,8;14,2;Geprueft
2014-06-27;12,8;16,2;10,2;Geprueft
2014-06-28;10,1;11,1;9,36;Geprueft
2014-06-29;10;11,1;9,37;Geprueft
2014-06-30;14,7;19,1;11,1;Geprueft
2014-07-01;18,3;20,4;15,6;Geprueft
2014-07-02;13;15,6;11,6;Geprueft
2014-07-03;10,4;11,6;9;Geprueft
2014-07-04;9,72;11,6;9,41;Geprueft
2014-07-05;9,71;10,3;9,01;Geprueft
2014-07-06;9,11;9,86;7,83;Geprueft
2014-07-07;8,79;17,4;7,83;Geprueft
2014-07-08;14,4;18,6;11,2;Geprueft
2014-07-09;41,1;68,9;18,6;Geprueft
2014-07-10;45,7;66,2;32,2;Geprueft
2014-07-11;26;32,2;21,9;Geprueft
2014-07-12;26,9;31,4;24;Geprueft
2014-07-13;26;30,6;23,3;Geprueft
2014-07-14;31,8;33,9;26,2;Geprueft
2014-07-15;23,2;29,2;19,4;Geprueft
2014-07-16;17,1;19,4;15,8;Geprueft
2014-07-17;15,1;16,4;14,3;Geprueft
2014-07-18;13,3;14,3;12,3;Geprueft
2014-07-19;13,6;14,8;13,3;Geprueft
2014-07-20;12,8;13,8;11,4;Geprueft
2014-07-21;11,7;14,3;10,9;Geprueft
2014-07-22;17,4;20,8;13,8;Geprueft
2014-07-23;23,5;24,9;20,8;Geprueft
2014-07-24;16,9;23,5;13,3;Geprueft
2014-07-25;13,1;14,9;11,9;Geprueft
2014-07-26;11,6;12,4;11;Geprueft
2014-07-27;12;13,4;9,64;Geprueft
2014-07-28;11,3;13,9;9,65;Geprueft
2014-07-29;13,3;16,6;10,5;Geprueft
2014-07-30;15,8;16,6;14,4;Geprueft
2014-07-31;17,9;19,6;16;Geprueft
2014-08-01;16,9;19,6;14,4;Geprueft
2014-08-02;13,6;15;12,4;Geprueft
2014-08-03;12,8;13,4;11,9;Geprueft
2014-08-04;12,5;12,9;11,9;Geprueft
2014-08-05;15,4;17,2;12,9;Geprueft
2014-08-06;19,7;21;17,2;Geprueft
2014-08-07;16,9;19,6;13,9;Geprueft
2014-08-08;12,6;14;11,5;Geprueft
2014-08-09;11,4;12,9;10,6;Geprueft
2014-08-10;9,76;10,6;8,46;Geprueft
2014-08-11;11,8;14,5;9,29;Geprueft
2014-08-12;19,2;22,4;14,5;Geprueft
2014-08-13;16,9;21,7;14,5;Geprueft
2014-08-14;15,7;18,4;14,5;Geprueft
2014-08-15;19,5;21;17,3;Geprueft
2014-08-16;16,2;17,9;15,1;Geprueft
2014-08-17;19,3;21,7;16,7;Geprueft
2014-08-18;19;21,7;16,2;Geprueft
2014-08-19;14,8;16,2;14;Geprueft
2014-08-20;13,1;14,5;12,5;Geprueft
2014-08-21;13,5;14;12,5;Geprueft
2014-08-22;13,2;14;12,5;Geprueft
2014-08-23;12,2;13;11,6;Geprueft
2014-08-24;10,9;12,1;10,2;Geprueft
2014-08-25;11;11,6;10,2;Geprueft
2014-08-26;12,8;16,8;11,6;Geprueft
2014-08-27;34,7;58,7;16,8;Geprueft
2014-08-28;43;60,2;26;Geprueft
2014-08-29;21,5;26;18,5;Geprueft
2014-08-30;17,1;18,5;16,2;Geprueft
2014-08-31;18,5;28,3;15,7;Geprueft
2014-09-01;56,1;68,9;28,3;Geprueft
2014-09-02;35;45,1;27,6;Geprueft
2014-09-03;25,2;27,6;22,5;Geprueft
2014-09-04;20,8;22,6;19,9;Geprueft
2014-09-05;19;19,9;18,6;Geprueft
2014-09-06;17,4;18,6;16,3;Geprueft
2014-09-07;19,6;24,7;16,3;Geprueft
2014-09-08;25,4;26,9;23,3;Geprueft
2014-09-09;21,3;25,4;19,3;Geprueft
2014-09-10;19,8;21,2;17,5;Geprueft
2014-09-11;17,2;17,5;16,3;Geprueft
