Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.04.2024 19:12"
Zeitbezug:;MEZ
Messstellen-Name:;Marienthal
Messstellen-Nr.:;15207507
Gewässer:;Regen
Ostwert:;731151;Nordwert:;5457076;"ETRS89 / UTM Zone 32N"
Pegelnullpunktshöhe:;"336,95 m NHN (DHHN2016)"

"Tageswerte Abfluss [m³/s]"
Datum;Mittelwert;Maximum;Minimum;Prüfstatus
2014-01-01;19,8;20,7;19,3;Geprueft
2014-01-02;19,3;19,7;18,8;Geprueft
2014-01-03;19,3;19,7;18,4;Geprueft
2014-01-04;19,3;19,7;18,8;Geprueft
2014-01-05;20,6;21,6;19,7;Geprueft
2014-01-06;24,4;26,7;21,6;Geprueft
2014-01-07;23,9;25,7;21,6;Geprueft
2014-01-08;21;21,6;19,7;Geprueft
2014-01-09;20,6;21,1;19,7;Geprueft
2014-01-10;20,5;21,6;19,3;Geprueft
2014-01-11;24,7;27,8;21,6;Geprueft
2014-01-12;24,1;25,7;21,6;Geprueft
2014-01-13;22,4;23,1;21,6;Geprueft
2014-01-14;21,4;22,1;19,7;Geprueft
2014-01-15;22,7;25,1;22,1;Geprueft
2014-01-16;23,4;24,6;22,6;Geprueft
2014-01-17;21,9;23,1;20,7;Geprueft
2014-01-18;22,6;23,1;22,1;Geprueft
2014-01-19;24,5;27,8;23,1;Geprueft
2014-01-20;21,9;23,1;21,6;Geprueft
2014-01-21;21,4;22,1;20,2;Geprueft
2014-01-22;22;23,1;21,1;Geprueft
2014-01-23;22,8;28,9;21,6;Geprueft
2014-01-24;21,7;22,1;21,6;Geprueft
2014-01-25;22,6;24,1;20,2;Geprueft
2014-01-26;22,4;22,6;22,1;Geprueft
2014-01-27;22,1;23,1;21,1;Geprueft
2014-01-28;21,3;22,1;20,6;Geprueft
2014-01-29;21;22,1;20,2;Geprueft
2014-01-30;20,2;21,6;19,2;Geprueft
2014-01-31;18,6;19,7;17,4;Geprueft
2014-02-01;19,2;20,2;18,3;Geprueft
2014-02-02;19,6;20,6;18,8;Geprueft
2014-02-03;22,2;23,1;20,6;Geprueft
2014-02-04;20,6;21,6;19,7;Geprueft
2014-02-05;19,6;19,7;19,2;Geprueft
2014-02-06;19;19,7;17,9;Geprueft
2014-02-07;20,1;21,1;18,8;Geprueft
2014-02-08;21,4;21,6;21,1;Geprueft
2014-02-09;21,5;22,1;21,1;Geprueft
2014-02-10;20,8;21,6;20,6;Geprueft
2014-02-11;20,4;20,6;20,1;Geprueft
2014-02-12;19,7;20,1;19,2;Geprueft
2014-02-13;20,1;20,1;19,2;Geprueft
2014-02-14;18,5;19,7;17,4;Geprueft
2014-02-15;20;21,1;19,2;Geprueft
2014-02-16;20,4;21,1;19,7;Geprueft
2014-02-17;24;32,3;19,2;Geprueft
2014-02-18;28,8;32,3;25,1;Geprueft
2014-02-19;22,7;25,1;20,7;Geprueft
2014-02-20;20,8;21,7;20,2;Geprueft
2014-02-21;20,7;21,7;20,3;Geprueft
2014-02-22;20,3;20,4;19,9;Geprueft
2014-02-23;21,6;22,4;20,4;Geprueft
2014-02-24;20,2;21,5;19,2;Geprueft
2014-02-25;19,3;19,7;18,3;Geprueft
2014-02-26;18,4;18,8;18,3;Geprueft
2014-02-27;18,2;18,9;17,1;Geprueft
2014-02-28;18,6;19,4;18;Geprueft
2014-03-01;18,6;19;18,5;Geprueft
2014-03-02;18,7;19,1;18,2;Geprueft
2014-03-03;18,6;18,7;18,3;Geprueft
2014-03-04;18;18,3;17,4;Geprueft
2014-03-05;17,8;19,7;16,2;Geprueft
2014-03-06;17,4;18,3;17;Geprueft
2014-03-07;17,4;17,9;17;Geprueft
2014-03-08;17,1;17,4;17;Geprueft
2014-03-09;16,9;17;16,5;Geprueft
2014-03-10;16,4;17;16,1;Geprueft
2014-03-11;15,6;16,1;15,3;Geprueft
2014-03-12;16,1;16,5;15,7;Geprueft
2014-03-13;15,9;16,5;15,2;Geprueft
2014-03-14;14,9;16;12,5;Geprueft
2014-03-15;15,2;16;14,8;Geprueft
2014-03-16;16,8;20;15,6;Geprueft
2014-03-17;20,5;21,9;19,6;Geprueft
2014-03-18;22,1;25,5;20;Geprueft
2014-03-19;19,2;20,5;18,2;Geprueft
2014-03-20;18,4;19;18,1;Geprueft
2014-03-21;18,2;18,6;17,7;Geprueft
2014-03-22;16,9;18,6;15,6;Geprueft
2014-03-23;17,2;20;16;Geprueft
2014-03-24;25,8;30,4;19,5;Geprueft
2014-03-25;29,2;30,4;28,2;Geprueft
2014-03-26;24,2;28,2;21;Geprueft
2014-03-27;21,7;22,9;20,5;Geprueft
2014-03-28;19,3;20,5;18,2;Geprueft
2014-03-29;17,9;18,2;17,3;Geprueft
2014-03-30;17,5;17,8;17,3;Geprueft
2014-03-31;16,9;17,3;16,5;Geprueft
2014-04-01;16,4;17,4;14,4;Geprueft
2014-04-02;16,4;17,4;15,6;Geprueft
2014-04-03;15,8;17,4;14,8;Geprueft
2014-04-04;15,7;15,7;15,7;Geprueft
2014-04-05;15,3;15,7;15,3;Geprueft
2014-04-06;15,2;15,7;14,5;Geprueft
2014-04-07;14,9;16,1;13,7;Geprueft
2014-04-08;15,2;16,5;13,3;Geprueft
2014-04-09;15;15,7;14,5;Geprueft
2014-04-10;16,3;17,4;14,9;Geprueft
2014-04-11;17,1;17,5;16,6;Geprueft
2014-04-12;16,8;17,5;16,2;Geprueft
2014-04-13;15,8;16,2;15,3;Geprueft
2014-04-14;15,1;17,1;12,6;Geprueft
2014-04-15;17,5;18,9;16,2;Geprueft
2014-04-16;20;21,2;18,9;Geprueft
2014-04-17;17,9;19,3;17,1;Geprueft
2014-04-18;16,5;18;15;Geprueft
2014-04-19;17,4;18;17,1;Geprueft
2014-04-20;17,5;17,6;16,7;Geprueft
2014-04-21;17,2;18,5;15,9;Geprueft
2014-04-22;15,8;16,8;15,1;Geprueft
2014-04-23;16;16,4;15,5;Geprueft
2014-04-24;15,6;16,4;14,3;Geprueft
2014-04-25;15,4;16;14,7;Geprueft
2014-04-26;14,4;15,6;13,1;Geprueft
2014-04-27;16,8;22,6;13,5;Geprueft
2014-04-28;16,5;19,1;15,6;Geprueft
2014-04-29;19,1;20;17,7;Geprueft
2014-04-30;18,3;19,6;16,9;Geprueft
2014-05-01;18,3;19,6;17,3;Geprueft
2014-05-02;16,4;17,8;15,2;Geprueft
2014-05-03;15,2;15,7;14,4;Geprueft
2014-05-04;14,9;16,5;12,5;Geprueft
2014-05-05;15,6;16,1;15,3;Geprueft
2014-05-06;14,7;15,7;14,5;Geprueft
2014-05-07;14,7;16,2;14,1;Geprueft
2014-05-08;19,2;24,1;15,7;Geprueft
2014-05-09;23;24,1;21,2;Geprueft
2014-05-10;20;21,2;17,5;Geprueft
2014-05-11;21,6;23,7;19,8;Geprueft
2014-05-12;19,2;22,7;17,5;Geprueft
2014-05-13;24,5;28,5;19,8;Geprueft
