Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.04.2024 19:12"
Zeitbezug:;MEZ
Messstellen-Name:;Zwiesel
Messstellen-Nr.:;15210206
Gewässer:;"Schwarzer Regen"
Ostwert:;808629;Nordwert:;5437159;"ETRS89 / UTM Zone 32N"
Pegelnullpunktshöhe:;"552,93 m NHN (DHHN2016)"

"Tageswerte Abfluss [m³/s]"
Datum;Mittelwert;Maximum;Minimum;Prüfstatus
2014-01-01;3,87;3,98;3,73;Geprueft
2014-01-02;3,78;4,2;3,4;Geprueft
2014-01-03;3,78;3,97;3,64;Geprueft
2014-01-04;3,84;4,17;3,75;Geprueft
2014-01-05;4,36;4,81;3,96;Geprueft
2014-01-06;4,38;4,8;4,11;Geprueft
2014-01-07;4,04;4,22;3,63;Geprueft
2014-01-08;3,93;4,09;3,71;Geprueft
2014-01-09;3,99;4,23;3,83;Geprueft
2014-01-10;5,59;6,5;3,96;Geprueft
2014-01-11;5;5,42;4,63;Geprueft
2014-01-12;4,98;5,51;4,49;Geprueft
2014-01-13;4,26;4,65;4,08;Geprueft
2014-01-14;4,1;4,21;3,91;Geprueft
2014-01-15;4,04;4,21;3,91;Geprueft
2014-01-16;3,85;4,09;3,32;Geprueft
2014-01-17;4,08;4,73;3,88;Geprueft
2014-01-18;4,18;4,61;4,05;Geprueft
2014-01-19;3,92;4,05;3,78;Geprueft
2014-01-20;3,88;4,25;3,55;Geprueft
2014-01-21;3,81;4,28;3,56;Geprueft
2014-01-22;3,75;3,88;3,68;Geprueft
2014-01-23;3,65;3,71;3,6;Geprueft
2014-01-24;3,68;3,77;3,61;Geprueft
2014-01-25;3,49;3,72;3,11;Geprueft
2014-01-26;3,39;3,49;3,29;Geprueft
2014-01-27;3,39;3,54;3,29;Geprueft
2014-01-28;3,29;3,39;3,26;Geprueft
2014-01-29;3,18;3,26;3,12;Geprueft
2014-01-30;3,2;4,12;2,45;Geprueft
2014-01-31;3,16;3,56;3;Geprueft
2014-02-01;3,43;4,03;3,09;Geprueft
2014-02-02;3,65;3,98;3,39;Geprueft
2014-02-03;3,36;3,44;3,11;Geprueft
2014-02-04;3,27;3,38;3,16;Geprueft
2014-02-05;3,25;3,31;3,2;Geprueft
2014-02-06;3,22;3,32;3,1;Geprueft
2014-02-07;3,12;3,25;2,99;Geprueft
2014-02-08;3,27;3,37;3,14;Geprueft
2014-02-09;3,27;3,4;3,15;Geprueft
2014-02-10;3,19;3,61;2,57;Geprueft
2014-02-11;3,27;3,44;3,13;Geprueft
2014-02-12;3,14;3,43;2,98;Geprueft
2014-02-13;3,03;4,09;2,14;Geprueft
2014-02-14;3,1;4,23;2,16;Geprueft
2014-02-15;2,82;2,97;2,73;Geprueft
2014-02-16;4,29;5,7;2,89;Geprueft
2014-02-17;4,25;5,34;3,3;Geprueft
2014-02-18;3,46;3,79;2,89;Geprueft
2014-02-19;3,22;3,68;2,81;Geprueft
2014-02-20;3,18;3,31;2,81;Geprueft
2014-02-21;3,36;3,98;3,04;Geprueft
2014-02-22;3,78;4,11;3,57;Geprueft
2014-02-23;3,46;3,59;3,36;Geprueft
2014-02-24;3,34;3,44;3,27;Geprueft
2014-02-25;3,25;3,36;3,08;Geprueft
2014-02-26;3,22;3,36;3,12;Geprueft
2014-02-27;3,14;3,2;3,02;Geprueft
2014-02-28;3,22;3,33;2,6;Geprueft
2014-03-01;3,19;3,28;3,1;Geprueft
2014-03-02;3,13;3,19;3,07;Geprueft
2014-03-03;3,22;3,84;2,97;Geprueft
2014-03-04;3,52;4,02;3,38;Geprueft
2014-03-05;3,4;3,77;2,32;Geprueft
2014-03-06;3,36;3,7;2,98;Geprueft
2014-03-07;3,14;3,37;2,92;Geprueft
2014-03-08;3,11;3,3;2,94;Geprueft
2014-03-09;3,1;3,2;3;Geprueft
2014-03-10;3,11;3,46;2,4;Geprueft
2014-03-11;2,98;3,54;2,01;Geprueft
2014-03-12;2,88;3,01;2,73;Geprueft
2014-03-13;2,84;2,88;2,75;Geprueft
2014-03-14;2,87;2,94;2,78;Geprueft
2014-03-15;3,25;4,19;2,81;Geprueft
2014-03-16;5,02;6,43;3,49;Geprueft
2014-03-17;4,62;5,64;3,96;Geprueft
2014-03-18;3,75;4,42;3,02;Geprueft
2014-03-19;4,1;5,01;3,51;Geprueft
2014-03-20;3,73;4,13;2,81;Geprueft
2014-03-21;3,39;3,45;3,33;Geprueft
2014-03-22;3,37;3,72;2,69;Geprueft
2014-03-23;4,92;5,9;3,59;Geprueft
2014-03-24;4,94;5,5;4,61;Geprueft
2014-03-25;4,37;4,98;3,72;Geprueft
2014-03-26;3,88;4,12;3,32;Geprueft
2014-03-27;3,68;3,84;3,2;Geprueft
2014-03-28;3,6;3,81;3,21;Geprueft
2014-03-29;3,48;3,61;3,32;Geprueft
2014-03-30;3,43;3,63;3,04;Geprueft
2014-03-31;3,31;3,58;3,07;Geprueft
2014-04-01;3,24;3,87;2,87;Geprueft
2014-04-02;3,15;3,27;2,93;Geprueft
2014-04-03;3,12;3,42;2,76;Geprueft
2014-04-04;3,07;3,91;2,82;Geprueft
2014-04-05;3,03;3,11;2,99;Geprueft
2014-04-06;3,06;3,11;2,88;Geprueft
2014-04-07;3,06;3,1;2,99;Geprueft
2014-04-08;3,26;3,7;3,04;Geprueft
2014-04-09;3,23;3,51;3,09;Geprueft
2014-04-10;3,84;5,27;3,09;Geprueft
2014-04-11;3,45;3,75;3,22;Geprueft
2014-04-12;3,25;3,34;3,16;Geprueft
2014-04-13;3,38;3,65;3,16;Geprueft
2014-04-14;3,73;4,91;2,05;Geprueft
2014-04-15;4,24;4,73;3,86;Geprueft
2014-04-16;3,77;4,05;3,42;Geprueft
2014-04-17;3,49;3,96;3,01;Geprueft
2014-04-18;3,72;4,19;3,34;Geprueft
2014-04-19;3,7;4,14;3,37;Geprueft
2014-04-20;3,73;4,11;3,15;Geprueft
2014-04-21;3,48;3,87;2,95;Geprueft
2014-04-22;3,37;3,59;3,18;Geprueft
2014-04-23;3,32;3,49;3,17;Geprueft
2014-04-24;3,19;3,3;3,07;Geprueft
2014-04-25;3,48;6,11;2,84;Geprueft
2014-04-26;4,81;8,1;3,55;Geprueft
2014-04-27;4,54;7,21;3,34;Geprueft
2014-04-28;4,59;5,27;3,28;Geprueft
2014-04-29;4,81;6,53;3,43;Geprueft
2014-04-30;4,15;5,18;2,54;Geprueft
2014-05-01;3,58;4,04;2,48;Geprueft
2014-05-02;3,61;4,35;3,01;Geprueft
2014-05-03;4;4,7;3,4;Geprueft
2014-05-04;3,59;4,08;2,95;Geprueft
2014-05-05;3,39;3,58;3,14;Geprueft
2014-05-06;3,37;4,03;2,92;Geprueft
2014-05-07;4,55;7,38;3,02;Geprueft
2014-05-08;4,86;5,92;3,89;Geprueft
2014-05-09;4,64;5,48;3,43;Geprueft
2014-05-10;5,34;6,97;4,27;Geprueft
2014-05-11;5,34;8,65;4,38;Geprueft
2014-05-12;6,08;7,44;4,37;Geprueft
2014-05-13;5,56;6,79;4,87;Geprueft
2014-05-14;5,19;6,04;4,15;Geprueft
2014-05-15;4,54;5,09;3,39;Geprueft
2014-05-16;4,24;4,7;3,59;Geprueft
2014-05-17;9,48;13,3;4,51;Geprueft
2014-05-18;13,3;17,1;10,3;Geprueft
2014-05-19;9,47;13,8;6,05;Geprueft
2014-05-20;6,23;7,04;4,8;Geprueft
2014-05-21;5,32;7,19;2,89;Geprueft
2014-05-22;4,89;5,38;3,77;Geprueft
2014-05-23;4,55;5,13;4,09;Geprueft
2014-05-24;4,48;5,34;4,2;Geprueft
2014-05-25;4,2;5,28;2,83;Geprueft
2014-05-26;4,04;4,73;3,23;Geprueft
2014-05-27;5,28;12,5;3,54;Geprueft
2014-05-28;28,7;48,4;12,5;Geprueft
2014-05-29;18,6;23,6;15,4;Geprueft
2014-05-30;12,7;16,5;10,1;Geprueft
2014-05-31;9,05;10,2;7,89;Geprueft
2014-06-01;7,57;9,33;5,8;Geprueft
2014-06-02;6,75;7,74;5,24;Geprueft
2014-06-03;6,36;8,08;5,88;Geprueft
2014-06-04;6,57;7,97;4,93;Geprueft
2014-06-05;5,6;6,61;4,73;Geprueft
2014-06-06;5,08;5,61;3,57;Geprueft
2014-06-07;4,74;5,25;3,7;Geprueft
2014-06-08;4,53;4,84;3,22;Geprueft
2014-06-09;4,31;4,82;3,19;Geprueft
2014-06-10;4,59;7,02;3,71;Geprueft
2014-06-11;4,32;4,73;3,65;Geprueft
2014-06-12;4,12;4,81;3,16;Geprueft
2014-06-13;3,98;4,5;3,18;Geprueft
2014-06-14;3,95;4,63;3,46;Geprueft
2014-06-15;3,93;4,53;2,88;Geprueft
2014-06-16;3,87;4,42;3,01;Geprueft
2014-06-17;3,87;4,17;3,56;Geprueft
2014-06-18;3,76;4,31;3,03;Geprueft
2014-06-19;3,68;4,34;3,17;Geprueft
2014-06-20;4,16;4,95;3,46;Geprueft
2014-06-21;3,81;4,05;3,59;Geprueft
2014-06-22;3,66;4,08;2,99;Geprueft
2014-06-23;3,59;4,2;3;Geprueft
2014-06-24;3,55;4,32;2,72;Geprueft
2014-06-25;4,44;5,82;3,13;Geprueft
2014-06-26;4,16;5,19;3,23;Geprueft
2014-06-27;3,73;4,33;2,82;Geprueft
2014-06-28;3,68;4,27;3,11;Geprueft
2014-06-29;4,45;5,67;3,54;Geprueft
2014-06-30;5,25;6,26;3,92;Geprueft
2014-07-01;4,45;5,51;3,35;Geprueft
2014-07-02;3,81;3,94;3,67;Geprueft
2014-07-03;3,65;4,3;2,85;Geprueft
2014-07-04;3,47;4,1;2,67;Geprueft
2014-07-05;3,43;3,99;2,72;Geprueft
2014-07-06;3,41;4,07;2,71;Geprueft
2014-07-07;4,21;16,8;2,37;Geprueft
2014-07-08;7,8;18,9;3,25;Geprueft
2014-07-09;19,8;30,5;11,4;Geprueft
2014-07-10;8,17;11,4;6,18;Geprueft
2014-07-11;6,58;11;5,03;Geprueft
2014-07-12;8,25;12,5;5,41;Geprueft
2014-07-13;7,71;12,4;5,04;Geprueft
2014-07-14;6,79;7,95;2,9;Geprueft
2014-07-15;5,24;6,25;2,73;Geprueft
2014-07-16;4,68;5,51;3,84;Geprueft
2014-07-17;4,43;6,03;3,68;Geprueft
2014-07-18;4,48;5,68;3,54;Geprueft
2014-07-19;3,91;4,31;3,4;Geprueft
2014-07-20;3,75;4,29;3,33;Geprueft
2014-07-21;3,89;6,85;3,23;Geprueft
2014-07-22;9,4;21,3;4,53;Geprueft
2014-07-23;5,7;8,79;3,91;Geprueft
2014-07-24;4,18;4,84;3,19;Geprueft
2014-07-25;3,92;4,72;3,23;Geprueft
2014-07-26;3,73;4,48;3,08;Geprueft
2014-07-27;3,73;4,49;3,03;Geprueft
2014-07-28;3,87;8,54;2,39;Geprueft
2014-07-29;3,57;4,04;3,22;Geprueft
2014-07-30;4,44;6,21;3,46;Geprueft
2014-07-31;4,38;5,42;3,86;Geprueft
2014-08-01;3,81;4,28;3,03;Geprueft
2014-08-02;3,52;4,04;2,93;Geprueft
2014-08-03;3,96;9,65;3,26;Geprueft
2014-08-04;5,17;7,11;4,29;Geprueft
2014-08-05;9,65;20,6;4,18;Geprueft
2014-08-06;6;8,81;4,1;Geprueft
2014-08-07;4,1;4,68;3,24;Geprueft
2014-08-08;3,87;4,88;3,13;Geprueft
2014-08-09;3,83;4,18;3,56;Geprueft
2014-08-10;3,71;3,96;3,39;Geprueft
2014-08-11;7,43;13,8;3,39;Geprueft
2014-08-12;5,42;7,48;4,22;Geprueft
2014-08-13;4,63;6,1;3,78;Geprueft
2014-08-14;6,53;7,81;5,19;Geprueft
2014-08-15;5,02;5,74;4,1;Geprueft
2014-08-16;5,74;7,38;4,27;Geprueft
2014-08-17;5,7;6,92;4,42;Geprueft
2014-08-18;4,56;6,07;3,73;Geprueft
2014-08-19;4,14;4,59;3,78;Geprueft
2014-08-20;4,01;4,28;3,73;Geprueft
2014-08-21;4,27;5,44;3,54;Geprueft
2014-08-22;3,86;4,25;3,29;Geprueft
2014-08-23;3,67;4,15;3,28;Geprueft
2014-08-24;3,69;4,12;3,25;Geprueft
2014-08-25;3,59;4,18;3,13;Geprueft
2014-08-26;7,22;12,2;3,46;Geprueft
2014-08-27;16,2;24,3;8,85;Geprueft
2014-08-28;6,41;8,85;4,86;Geprueft
2014-08-29;4,64;4,96;4,14;Geprueft
2014-08-30;5,67;8,52;4,11;Geprueft
2014-08-31;16,9;36,9;4,86;Geprueft
2014-09-01;12,1;16,9;9,1;Geprueft
2014-09-02;7,63;9,1;6,26;Geprueft
2014-09-03;6,14;6,69;5,15;Geprueft
2014-09-04;5,44;5,98;4,66;Geprueft
2014-09-05;4,87;5,4;4,36;Geprueft
2014-09-06;4,85;6,15;4,1;Geprueft
2014-09-07;5,04;6,85;4,32;Geprueft
2014-09-08;4,78;6,22;3,27;Geprueft
2014-09-09;5,47;7,61;3,36;Geprueft
2014-09-10;4,28;5,28;3,3;Geprueft
2014-09-11;5,16;7,54;3,71;Geprueft
2014-09-12;13;19,4;6,09;Geprueft
2014-09-13;7,43;9,49;5,75;Geprueft
2014-09-14;8,75;11,2;6,66;Geprueft
2014-09-15;6,92;8,5;5,41;Geprueft
2014-09-16;5,6;6,06;4,85;Geprueft
2014-09-17;4,96;5,44;4,47;Geprueft
2014-09-18;4,62;5,43;3,47;Geprueft
2014-09-19;4,33;5,1;3,47;Geprueft
2014-09-20;4,3;4,73;3,98;Geprueft
2014-09-21;4,69;8,46;4,08;Geprueft
2014-09-22;7,9;10,1;5,69;Geprueft
2014-09-23;8,76;9,83;6,81;Geprueft
2014-09-24;5,9;7,07;4,71;Geprueft
2014-09-25;5,2;5,85;4,64;Geprueft
2014-09-26;5,02;5,67;4,33;Geprueft
2014-09-27;4,96;5,32;4,39;Geprueft
2014-09-28;4,64;5,13;4,37;Geprueft
2014-09-29;4,33;5,16;3,95;Geprueft
2014-09-30;4,2;5,13;3,35;Geprueft
2014-10-01;6,93;11,2;4,28;Geprueft
2014-10-02;5,25;6,18;4,21;Geprueft
2014-10-03;4,74;5,44;4,16;Geprueft
2014-10-04;4,5;5,05;3,75;Geprueft
2014-10-05;4,31;4,68;3,87;Geprueft
2014-10-06;4,17;5,4;3,42;Geprueft
2014-10-07;3,88;4,66;3,29;Geprueft
2014-10-08;3,72;4,48;2,94;Geprueft
2014-10-09;3,6;4,44;3,03;Geprueft
2014-10-10;3,56;4,25;2,88;Geprueft
2014-10-11;3,56;4,28;2,9;Geprueft
2014-10-12;3,52;4,18;2,87;Geprueft
2014-10-13;3,45;3,96;2,59;Geprueft
2014-10-14;4,23;5,78;3,02;Geprueft
2014-10-15;3,85;4,79;3,22;Geprueft
2014-10-16;4,11;4,99;3,46;Geprueft
2014-10-17;6,55;9,55;3,95;Geprueft
2014-10-18;4,86;6,11;3,71;Geprueft
2014-10-19;4,04;4,88;3,41;Geprueft
2014-10-20;3,97;6,59;2,26;Geprueft
2014-10-21;5,09;8,54;3,2;Geprueft
2014-10-22;11,7;21,2;5,4;Geprueft
2014-10-23;41,6;73,5;20,1;Geprueft
2014-10-24;13,5;20,5;9,34;Geprueft
2014-10-25;8,17;9,57;6,74;Geprueft
2014-10-26;6,46;7,53;5,61;Geprueft
2014-10-27;5,63;6,9;4,98;Geprueft
2014-10-28;5,12;5,78;4,6;Geprueft
2014-10-29;4,7;5,33;4,26;Geprueft
2014-10-30;4,4;5,33;3,84;Geprueft
2014-10-31;4,17;4,78;3,69;Geprueft
2014-11-01;3,97;4,65;3,5;Geprueft
2014-11-02;3,8;4,36;3,42;Geprueft
2014-11-03;3,59;4,24;2,38;Geprueft
2014-11-04;3,36;4,06;2,75;Geprueft
2014-11-05;3,22;4,26;2,59;Geprueft
2014-11-06;3,18;3,56;2,72;Geprueft
2014-11-07;3,17;3,73;2,72;Geprueft
2014-11-08;3,08;3,46;2,75;Geprueft
2014-11-09;3,03;3,52;2,77;Geprueft
2014-11-10;2,95;3,5;2,44;Geprueft
2014-11-11;2,88;3,38;2,27;Geprueft
2014-11-12;2,8;5,55;1,68;Geprueft
2014-11-13;2,79;3,16;2,39;Geprueft
2014-11-14;2,76;4,9;1,82;Geprueft
2014-11-15;2,74;5,14;1,83;Geprueft
2014-11-16;2,71;3,01;2,54;Geprueft
2014-11-17;2,73;4,24;2,15;Geprueft
2014-11-18;3,54;5,58;2,49;Geprueft
2014-11-19;4,82;5,72;3,88;Geprueft
2014-11-20;3,41;4,15;2,88;Geprueft
2014-11-21;3,01;3,44;2,75;Geprueft
2014-11-22;2,85;3,14;2,63;Geprueft
2014-11-23;2,77;3,03;2,58;Geprueft
2014-11-24;2,66;3,05;2,13;Geprueft
2014-11-25;2,58;3,28;1,93;Geprueft
2014-11-26;2,52;2,94;1,81;Geprueft
2014-11-27;2,52;3,18;1,82;Geprueft
2014-11-28;2,45;2,77;2,27;Geprueft
2014-11-29;2,43;2,9;1,96;Geprueft
2014-11-30;2,39;3,11;2,1;Geprueft
2014-12-01;2,4;2,7;2,16;Geprueft
2014-12-02;2,35;2,73;2,13;Geprueft
2014-12-03;2,28;2,59;1,71;Geprueft
2014-12-04;2,34;2,63;2,15;Geprueft
2014-12-05;2,34;2,81;2,19;Geprueft
2014-12-06;2,4;2,75;2;Geprueft
2014-12-07;2,39;2,68;2,1;Geprueft
2014-12-08;2,34;2,68;1,69;Geprueft
2014-12-09;2,27;2,54;2,1;Geprueft
2014-12-10;2,14;2,43;1,85;Geprueft
2014-12-11;2,36;3,16;1,78;Geprueft
2014-12-12;3,4;4,24;2,77;Geprueft
2014-12-13;2,73;3,14;2,44;Geprueft
2014-12-14;2,64;2,98;2,36;Geprueft
2014-12-15;2,95;3,79;2,59;Geprueft
2014-12-16;3,22;3,71;2,66;Geprueft
2014-12-17;2,98;3,38;2,65;Geprueft
2014-12-18;6,15;17,4;3,28;Geprueft
2014-12-19;13,5;20,4;7,97;Geprueft
2014-12-20;13,7;25;7,48;Geprueft
2014-12-21;6,73;8,07;5,51;Geprueft
2014-12-22;5,11;5,8;4,19;Geprueft
2014-12-23;5,02;5,58;4,53;Geprueft
2014-12-24;4,42;4,85;3,81;Geprueft
2014-12-25;5,01;5,98;3,99;Geprueft
2014-12-26;4,27;4,72;3,75;Geprueft
2014-12-27;3,79;4,13;3,44;Geprueft
2014-12-28;3,5;3,92;2,36;Geprueft
2014-12-29;4,26;5,49;2,36;Geprueft
2014-12-30;4,64;6,19;3,69;Geprueft
2014-12-31;3,56;3,97;3,22;Geprueft
2015-01-01;3,23;4,01;2,77;Geprueft
2015-01-02;3,55;4,36;3,05;Geprueft
2015-01-03;3,73;4,48;2,98;Geprueft
2015-01-04;3,55;4,03;3,18;Geprueft
2015-01-05;3,33;3,77;3,05;Geprueft
2015-01-06;3,15;3,42;2,94;Geprueft
2015-01-07;2,97;3,42;2,61;Geprueft
2015-01-08;2,95;4,58;2,57;Geprueft
2015-01-09;9,86;19;4,58;Geprueft
2015-01-10;60,1;96,8;19;Geprueft
2015-01-11;34,9;56;20,3;Geprueft
2015-01-12;17;20,3;14,4;Geprueft
2015-01-13;12,8;14,4;11,3;Geprueft
2015-01-14;11,9;13,4;10,7;Geprueft
2015-01-15;10,5;12,3;9,29;Geprueft
2015-01-16;8,77;9,55;8,02;Geprueft
2015-01-17;8,23;8,96;7,63;Geprueft
2015-01-18;7,38;7,91;6,94;Geprueft
2015-01-19;6,72;7,29;6,2;Geprueft
2015-01-20;6,2;7,39;5,51;Geprueft
2015-01-21;5,76;6,2;5,41;Geprueft
2015-01-22;5,47;5,75;5,28;Geprueft
2015-01-23;5,31;5,64;5,03;Geprueft
2015-01-24;5,08;5,48;4,3;Geprueft
2015-01-25;4,93;5,25;4,72;Geprueft
2015-01-26;4,83;5,13;4,58;Geprueft
2015-01-27;4,89;5,38;4,01;Geprueft
2015-01-28;4,69;5,08;4,2;Geprueft
2015-01-29;4,79;5,6;4,33;Geprueft
2015-01-30;4,64;5,06;4,4;Geprueft
2015-01-31;4,51;4,91;4,22;Geprueft
2015-02-01;4,32;4,68;4,07;Geprueft
2015-02-02;4,3;4,56;4,05;Geprueft
2015-02-03;4,24;4,56;3,79;Geprueft
2015-02-04;4,14;5,01;2,41;Geprueft
2015-02-05;3,97;4,63;3,54;Geprueft
2015-02-06;3,87;6,16;3,4;Geprueft
2015-02-07;4,2;7,05;2,71;Geprueft
2015-02-08;3,89;4,36;3,63;Geprueft
2015-02-09;3,81;4,41;3,53;Geprueft
2015-02-10;3,79;4,21;3,39;Geprueft
2015-02-11;3,72;4,02;3,48;Geprueft
2015-02-12;3,67;4,08;3,44;Geprueft
2015-02-13;3,59;4,11;2,71;Geprueft
2015-02-14;3,62;4,17;2,95;Geprueft
