Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.04.2024 19:12"
Zeitbezug:;MEZ
Messstellen-Name:;Teisnach
Messstellen-Nr.:;15212008
Gewässer:;"Schwarzer Regen"
Ostwert:;792241;Nordwert:;5439862;"ETRS89 / UTM Zone 32N"
Pegelnullpunktshöhe:;"445,83 m NHN (DHHN2016)"

"Tageswerte Abfluss [m³/s]"
Datum;Mittelwert;Maximum;Minimum;Prüfstatus
2014-01-01;8,66;9,36;8,33;Geprueft
2014-01-02;8,52;9,9;7,35;Geprueft
2014-01-03;8,4;8,85;7,35;Geprueft
2014-01-04;8,57;9,38;8,34;Geprueft
2014-01-05;9,94;11;8,85;Geprueft
2014-01-06;10,7;11,6;9,38;Geprueft
2014-01-07;9,61;10,5;8,86;Geprueft
2014-01-08;9,41;9,93;8,86;Geprueft
2014-01-09;9,73;10,5;8,87;Geprueft
2014-01-10;12,6;16,6;9,39;Geprueft
2014-01-11;11,8;14;10,5;Geprueft
2014-01-12;11,7;13,4;10,5;Geprueft
2014-01-13;10;11,1;8,88;Geprueft
2014-01-14;9,6;11,1;8,88;Geprueft
2014-01-15;9,95;10,5;9,41;Geprueft
2014-01-16;9,39;9,95;8,89;Geprueft
2014-01-17;9,87;11,1;8,89;Geprueft
2014-01-18;10,9;12,2;9,96;Geprueft
2014-01-19;9,92;10,5;9,43;Geprueft
2014-01-20;9,23;9,97;8,4;Geprueft
2014-01-21;9,21;9,97;8,4;Geprueft
2014-01-22;9,45;9,98;8,91;Geprueft
2014-01-23;9;9,44;7,9;Geprueft
2014-01-24;9,03;9,98;7,91;Geprueft
2014-01-25;8,96;9,45;8,41;Geprueft
2014-01-26;8,48;9,45;7,91;Geprueft
2014-01-27;8,45;8,93;8,42;Geprueft
2014-01-28;8,02;8,93;6,95;Geprueft
2014-01-29;7,93;8,94;6,49;Geprueft
2014-01-30;7,42;8,94;5,18;Geprueft
2014-01-31;8,04;8,94;6,96;Geprueft
2014-02-01;8,28;9,48;7,44;Geprueft
2014-02-02;9,72;11,1;8,95;Geprueft
2014-02-03;8,52;9,48;7,94;Geprueft
2014-02-04;8,42;8,96;7,45;Geprueft
2014-02-05;8,12;8,45;7,95;Geprueft
2014-02-06;8,12;8,45;7,46;Geprueft
2014-02-07;7,98;8,46;6,98;Geprueft
2014-02-08;8,23;8,97;7,95;Geprueft
2014-02-09;8,24;8,46;7,96;Geprueft
2014-02-10;8;8,47;7,47;Geprueft
2014-02-11;8,14;8,99;7,47;Geprueft
2014-02-12;7,93;8,48;7,48;Geprueft
2014-02-13;7,5;8,49;7,01;Geprueft
2014-02-14;8,23;9,01;7,5;Geprueft
2014-02-15;8;8,5;7,51;Geprueft
2014-02-16;10,8;18,1;8,01;Geprueft
2014-02-17;14,2;18,1;10,7;Geprueft
2014-02-18;10,2;11,2;9,05;Geprueft
2014-02-19;9,23;9,59;8,55;Geprueft
2014-02-20;9,05;9,6;8,55;Geprueft
2014-02-21;8,81;10,1;8,06;Geprueft
2014-02-22;10;11,3;9,08;Geprueft
2014-02-23;8,97;9,62;8,07;Geprueft
2014-02-24;8,39;9,1;7,59;Geprueft
2014-02-25;8,13;8,6;7,6;Geprueft
2014-02-26;8,08;8,61;7,6;Geprueft
2014-02-27;7,89;8,11;7,61;Geprueft
2014-02-28;8,09;8,63;7,62;Geprueft
2014-03-01;8,2;8,64;7,63;Geprueft
2014-03-02;7,79;8,14;7,63;Geprueft
2014-03-03;7,64;8,14;6,69;Geprueft
2014-03-04;8,01;9,18;7,16;Geprueft
2014-03-05;7,88;8,67;7,17;Geprueft
2014-03-06;7,74;8,68;6,71;Geprueft
2014-03-07;7,68;8,69;7,19;Geprueft
2014-03-08;7,52;8,7;6,27;Geprueft
2014-03-09;7,51;8,7;6,28;Geprueft
2014-03-10;7,52;9,24;5,84;Geprueft
2014-03-11;7,32;8,72;5,84;Geprueft
2014-03-12;6,98;8,71;5,4;Geprueft
2014-03-13;6,96;8,2;6,74;Geprueft
2014-03-14;7,21;8,7;6,73;Geprueft
2014-03-15;7,63;9,21;6,73;Geprueft
2014-03-16;11,5;15,7;8,18;Geprueft
2014-03-17;12,3;15,7;10,3;Geprueft
2014-03-18;9,58;10,8;8,67;Geprueft
2014-03-19;9,45;10,8;8,16;Geprueft
2014-03-20;9,08;10,3;8,15;Geprueft
2014-03-21;8,15;8,66;7,65;Geprueft
2014-03-22;7,84;10,2;6,69;Geprueft
2014-03-23;11,6;15;8,65;Geprueft
2014-03-24;12,7;15;10,8;Geprueft
2014-03-25;11,3;13,1;9,67;Geprueft
2014-03-26;9,59;10,2;8,62;Geprueft
2014-03-27;8,68;9,14;8,11;Geprueft
2014-03-28;8,56;9,13;8,1;Geprueft
2014-03-29;8,09;8,61;7,6;Geprueft
2014-03-30;7,96;8,6;7,11;Geprueft
2014-03-31;7,66;8,59;7,1;Geprueft
2014-04-01;7,44;8,58;6,63;Geprueft
2014-04-02;7,19;7,58;7,09;Geprueft
2014-04-03;7,09;7,57;6,62;Geprueft
2014-04-04;7,09;8,05;6,61;Geprueft
2014-04-05;6,77;7,08;5,7;Geprueft
2014-04-06;7,06;7,55;5,7;Geprueft
2014-04-07;6,88;7,07;6,59;Geprueft
2014-04-08;7,25;9,05;6,59;Geprueft
2014-04-09;7,73;9,57;6,58;Geprueft
2014-04-10;8,44;10,1;7,04;Geprueft
2014-04-11;7,98;9,56;7,03;Geprueft
2014-04-12;7,29;8;6,11;Geprueft
2014-04-13;7,67;8,5;7,03;Geprueft
2014-04-14;8,07;10,6;6,54;Geprueft
2014-04-15;10,4;11,6;9,36;Geprueft
2014-04-16;9,04;9,9;8,48;Geprueft
2014-04-17;8,17;10,1;7,48;Geprueft
2014-04-18;8,2;9,51;7,47;Geprueft
2014-04-19;9,16;10;8,46;Geprueft
2014-04-20;8,51;10,6;7,95;Geprueft
2014-04-21;7,73;9,49;6,98;Geprueft
2014-04-22;7,74;10,6;6,97;Geprueft
2014-04-23;8,38;12,3;6,5;Geprueft
2014-04-24;7,59;10;6,49;Geprueft
2014-04-25;7,1;13,5;5,64;Geprueft
2014-04-26;8,47;12,9;6,48;Geprueft
2014-04-27;8,96;12,3;6,47;Geprueft
2014-04-28;9,9;12,2;6,47;Geprueft
2014-04-29;9,95;17,3;8,4;Geprueft
2014-04-30;10,3;13,4;8,39;Geprueft
2014-05-01;8,24;8,9;6,91;Geprueft
2014-05-02;8,08;9,41;6;Geprueft
2014-05-03;8,85;9,94;7,87;Geprueft
2014-05-04;8,16;9,4;7,86;Geprueft
2014-05-05;7,51;7,86;7,36;Geprueft
2014-05-06;7,28;7,85;6,42;Geprueft
2014-05-07;8,93;14,6;5,53;Geprueft
2014-05-08;11,9;14,6;9,9;Geprueft
2014-05-09;10,3;12,8;9,36;Geprueft
2014-05-10;12;14;10,4;Geprueft
2014-05-11;11,8;16,5;8,83;Geprueft
2014-05-12;15,6;19,9;12,1;Geprueft
2014-05-13;13,9;16,5;11;Geprueft
2014-05-14;11,8;12,7;10,4;Geprueft
2014-05-15;10,4;11,5;9,32;Geprueft
2014-05-16;9,51;9,85;9,31;Geprueft
2014-05-17;14,4;19,1;9,31;Geprueft
2014-05-18;22,7;27,2;16,4;Geprueft
2014-05-19;20,7;25,7;15,1;Geprueft
2014-05-20;13,5;15,8;12,1;Geprueft
2014-05-21;11,5;12,7;10,4;Geprueft
2014-05-22;10,4;12,1;9,27;Geprueft
2014-05-23;9,85;10,3;9,26;Geprueft
2014-05-24;9,8;10,3;9,26;Geprueft
2014-05-25;9,44;11,5;6,77;Geprueft
2014-05-26;8,97;10,3;7,72;Geprueft
2014-05-27;10,6;13;7,23;Geprueft
2014-05-28;48,9;87,9;11,6;Geprueft
2014-05-29;40,2;59,8;33,5;Geprueft
2014-05-30;25,9;34,7;19,2;Geprueft
2014-05-31;16,1;19,2;13,2;Geprueft
2014-06-01;12,5;14,5;10,2;Geprueft
2014-06-02;10,1;11,3;8,99;Geprueft
2014-06-03;8,65;9,54;7,96;Geprueft
2014-06-04;10,9;12,3;8,88;Geprueft
2014-06-05;11,3;12,2;10;Geprueft
2014-06-06;10,6;11,6;9,92;Geprueft
2014-06-07;9,95;10,5;9,39;Geprueft
2014-06-08;9,45;9,92;8,35;Geprueft
2014-06-09;9,05;9,92;8,35;Geprueft
2014-06-10;8,88;11,6;7,85;Geprueft
2014-06-11;9,33;12,2;7,36;Geprueft
2014-06-12;8,33;9,39;7,85;Geprueft
2014-06-13;7,86;8,35;6,89;Geprueft
2014-06-14;7,57;7,85;6,89;Geprueft
2014-06-15;7,44;7,85;7,36;Geprueft
2014-06-16;7,47;8,86;6,89;Geprueft
2014-06-17;7,5;9,92;6,89;Geprueft
2014-06-18;7,39;8,35;6,89;Geprueft
2014-06-19;6,91;7,36;6,43;Geprueft
2014-06-20;7,64;9,39;6,43;Geprueft
2014-06-21;7,12;7,85;6,89;Geprueft
2014-06-22;6,63;7,36;5,98;Geprueft
2014-06-23;6,33;6,89;5,55;Geprueft
2014-06-24;6,12;6,89;5,55;Geprueft
2014-06-25;7,45;9,92;5,98;Geprueft
2014-06-26;7,84;8,86;6,43;Geprueft
2014-06-27;6,33;7,85;5,13;Geprueft
2014-06-28;6,01;6,89;5,55;Geprueft
2014-06-29;7,45;9,92;5,55;Geprueft
2014-06-30;10,8;12,8;8,86;Geprueft
2014-07-01;8,5;9,92;7,36;Geprueft
2014-07-02;6,57;7,36;5,98;Geprueft
