Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.04.2024 19:09"
Zeitbezug:;MEZ
Messstellen-Name:;Sägmühle
Messstellen-Nr.:;15212700
Gewässer:;"Schwarzer Regen"
Ostwert:;786279;Nordwert:;5442774;"ETRS89 / UTM Zone 32N"
Pegelnullpunktshöhe:;"405,18 m NHN (DHHN2016)"

"Tageswerte Abfluss [m³/s]"
Datum;Mittelwert;Maximum;Minimum;Prüfstatus
2019-01-01;28;32,8;26,4;Geprueft
2019-01-02;33,5;41,3;26;Geprueft
2019-01-03;22,1;26;15,8;Geprueft
2019-01-04;19;20,5;17,2;Geprueft
2019-01-05;19,1;20,6;17,4;Geprueft
2019-01-06;20;21,5;19;Geprueft
2019-01-07;20,1;23,7;18,8;Geprueft
2019-01-08;23,2;25,3;21,9;Geprueft
2019-01-09;25,8;29,6;22,5;Geprueft
2019-01-10;20,4;23,7;17,8;Geprueft
2019-01-11;18,2;19,2;17,5;Geprueft
2019-01-12;17,7;19,2;15,7;Geprueft
2019-01-13;18,4;21,1;15,5;Geprueft
2019-01-14;34,4;41,5;21,1;Geprueft
2019-01-15;25,6;32,1;20,2;Geprueft
2019-01-16;20,8;22,1;19,2;Geprueft
2019-01-17;19,2;20,1;18,5;Geprueft
2019-01-18;19,7;20,9;17,9;Geprueft
2019-01-19;17;18,2;16,1;Geprueft
2019-01-20;16;16,1;15,9;Geprueft
2019-01-21;15,8;15,9;15,7;Geprueft
2019-01-22;15,7;15,7;15,6;Geprueft
2019-01-23;15,5;15,6;15,4;Geprueft
2019-01-24;15,3;15,4;15,2;Geprueft
2019-01-25;15,1;15,2;15;Geprueft
2019-01-26;14,9;15;14,9;Geprueft
2019-01-27;14,8;14,9;14,7;Geprueft
2019-01-28;14,6;14,7;14,5;Geprueft
2019-01-29;14,4;14,5;14,3;Geprueft
2019-01-30;14,2;14,3;14,2;Geprueft
2019-01-31;14,1;14,2;14;Geprueft
2019-02-01;13,9;14;13,8;Geprueft
2019-02-02;13,7;13,8;13,7;Geprueft
2019-02-03;13,6;13,7;13,5;Geprueft
2019-02-04;13,4;13,5;13,3;Geprueft
2019-02-05;13,2;13,3;13,2;Geprueft
2019-02-06;13,1;13,2;13;Geprueft
2019-02-07;12,9;13;12,8;Geprueft
2019-02-08;12,9;13,5;12,6;Geprueft
2019-02-09;12,7;13,5;12,1;Geprueft
2019-02-10;13,8;16,9;13,1;Geprueft
2019-02-11;23,2;27,8;16,9;Geprueft
2019-02-12;17,6;21,2;15,5;Geprueft
2019-02-13;15,1;16,4;14,3;Geprueft
2019-02-14;14,4;15,2;13,7;Geprueft
2019-02-15;14;14,5;13,4;Geprueft
2019-02-16;14;14,4;13,6;Geprueft
2019-02-17;14,2;15,4;12,9;Geprueft
2019-02-18;14,4;15,3;13,3;Geprueft
2019-02-19;14,8;17,2;13,7;Geprueft
2019-02-20;15,4;16,4;14,5;Geprueft
2019-02-21;15,7;16,7;14,8;Geprueft
2019-02-22;22,6;34,8;16,5;Geprueft
2019-02-23;26,8;33,4;22;Geprueft
2019-02-24;19,6;22;16,3;Geprueft
2019-02-25;17,8;19,5;16,6;Geprueft
2019-02-26;19,6;20,8;19;Geprueft
2019-02-27;21,6;24,5;20,7;Geprueft
2019-02-28;25,2;32;23,3;Geprueft
2019-03-01;39,3;54,2;31,3;Geprueft
2019-03-02;60,9;66;52,3;Geprueft
2019-03-03;48,7;54,3;45,2;Geprueft
2019-03-04;48,6;54,3;43,5;Geprueft
2019-03-05;48,3;54;43,8;Geprueft
2019-03-06;43,1;48,3;39,7;Geprueft
2019-03-07;39,5;44,8;36,5;Geprueft
2019-03-08;41,1;47,2;37,3;Geprueft
2019-03-09;38;42,1;35;Geprueft
2019-03-10;71,4;123;42;Geprueft
2019-03-11;73,6;117;51,2;Geprueft
2019-03-12;43,8;51,2;39,5;Geprueft
2019-03-13;35,8;39,5;31,5;Geprueft
2019-03-14;36,9;59,6;32,9;Geprueft
2019-03-15;64,1;109;52,4;Geprueft
2019-03-16;191;268;109;Geprueft
2019-03-17;93;135;75,9;Geprueft
2019-03-18;71,5;80,7;59,6;Geprueft
2019-03-19;52,5;59,6;47;Geprueft
2019-03-20;43;47;39,9;Geprueft
2019-03-21;37,8;40,2;34,5;Geprueft
2019-03-22;35,4;37,3;32,2;Geprueft
2019-03-23;36,8;39;32,7;Geprueft
2019-03-24;37,7;39,7;35,8;Geprueft
2019-03-25;37,7;40,3;35,1;Geprueft
2019-03-26;32,7;35,2;30,7;Geprueft
2019-03-27;29,7;31,3;28;Geprueft
2019-03-28;28,1;29;27,1;Geprueft
2019-03-29;27,7;28,5;27;Geprueft
2019-03-30;28;29,2;26,8;Geprueft
2019-03-31;28,1;29;27,1;Geprueft
2019-04-01;28,8;29,4;27,7;Geprueft
2019-04-02;29,2;30,6;27,4;Geprueft
2019-04-03;29,3;30,2;28,2;Geprueft
2019-04-04;30,3;31,8;28,6;Geprueft
2019-04-05;30,2;32,4;27,6;Geprueft
2019-04-06;28,9;29,5;27,9;Geprueft
2019-04-07;29;31,3;26,8;Geprueft
2019-04-08;26,9;29,1;26;Geprueft
2019-04-09;29,3;31,3;27,7;Geprueft
2019-04-10;27,1;28,3;25,7;Geprueft
2019-04-11;25,6;26,6;23,9;Geprueft
2019-04-12;23,2;23,9;22,2;Geprueft
2019-04-13;22;23;19,6;Geprueft
2019-04-14;20,8;21,8;16,2;Geprueft
2019-04-15;20,1;20,7;19,4;Geprueft
2019-04-16;19,7;22,5;18,2;Geprueft
2019-04-17;19,2;23,5;17,6;Geprueft
2019-04-18;19;23;16,3;Geprueft
2019-04-19;19,4;20,6;18,3;Geprueft
2019-04-20;19,5;21,2;19,1;Geprueft
2019-04-21;19,8;21,5;19,1;Geprueft
2019-04-22;19,7;20,8;18,4;Geprueft
2019-04-23;19,9;20,8;19,3;Geprueft
2019-04-24;19,7;21,6;18,8;Geprueft
2019-04-25;19;20,8;17,2;Geprueft
2019-04-26;18,1;18,9;17,4;Geprueft
2019-04-27;18,3;21,1;16;Geprueft
2019-04-28;18,1;19,5;15,1;Geprueft
2019-04-29;17;18,5;15,1;Geprueft
2019-04-30;20;21,8;18,1;Geprueft
2019-05-01;17,3;18,5;16,1;Geprueft
2019-05-02;15,7;16,4;14,5;Geprueft
2019-05-03;16,4;18,5;14,5;Geprueft
2019-05-04;16,8;18;15,5;Geprueft
2019-05-05;16,9;18,3;15;Geprueft
2019-05-06;14,9;16,6;13,6;Geprueft
