Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.04.2024 19:12"
Zeitbezug:;MEZ
Messstellen-Name:;"Viechtach Reibenmühle"
Messstellen-Nr.:;15213500
Gewässer:;Aitnach
Ostwert:;786177;Nordwert:;5441528;"ETRS89 / UTM Zone 32N"
Pegelnullpunktshöhe:;"415,52 m NHN (DHHN2016)"

"Tageswerte Abfluss [m³/s]"
Datum;Mittelwert;Maximum;Minimum;Prüfstatus
2014-01-01;0,433;0,463;0,404;Geprueft
2014-01-02;0,435;0,463;0,412;Geprueft
2014-01-03;0,429;0,453;0,387;Geprueft
2014-01-04;0,445;0,498;0,416;Geprueft
2014-01-05;0,545;0,622;0,443;Geprueft
2014-01-06;0,524;0,591;0,447;Geprueft
2014-01-07;0,477;0,514;0,451;Geprueft
2014-01-08;0,464;0,519;0,433;Geprueft
2014-01-09;0,457;0,491;0,437;Geprueft
2014-01-10;0,565;0,715;0,441;Geprueft
2014-01-11;0,512;0,57;0,436;Geprueft
2014-01-12;0,527;0,57;0,455;Geprueft
2014-01-13;0,478;0,528;0,409;Geprueft
2014-01-14;0,476;0,533;0,435;Geprueft
2014-01-15;0,511;0,556;0,463;Geprueft
2014-01-16;0,498;0,573;0,439;Geprueft
2014-01-17;0,549;0,643;0,483;Geprueft
2014-01-18;0,558;0,629;0,472;Geprueft
2014-01-19;0,517;0,555;0,482;Geprueft
2014-01-20;0,489;0,52;0,429;Geprueft
2014-01-21;0,508;0,547;0,466;Geprueft
2014-01-22;0,519;0,559;0,471;Geprueft
2014-01-23;0,492;0,524;0,456;Geprueft
2014-01-24;0,504;0,564;0,465;Geprueft
2014-01-25;0,489;0,534;0,455;Geprueft
2014-01-26;0,482;0,512;0,446;Geprueft
2014-01-27;0,485;0,517;0,445;Geprueft
2014-01-28;0,465;0,495;0,435;Geprueft
2014-01-29;0,456;0,489;0,431;Geprueft
2014-01-30;0,438;0,494;0,323;Geprueft
2014-01-31;0,445;0,504;0,413;Geprueft
2014-02-01;0,465;0,531;0,43;Geprueft
2014-02-02;0,474;0,515;0,443;Geprueft
2014-02-03;0,462;0,565;0,407;Geprueft
2014-02-04;0,454;0,482;0,424;Geprueft
2014-02-05;0,443;0,476;0,411;Geprueft
2014-02-06;0,472;0,535;0,424;Geprueft
2014-02-07;0,494;0,54;0,446;Geprueft
2014-02-08;0,502;0,523;0,455;Geprueft
2014-02-09;0,468;0,496;0,441;Geprueft
2014-02-10;0,452;0,479;0,423;Geprueft
2014-02-11;0,473;0,537;0,411;Geprueft
2014-02-12;0,44;0,476;0,405;Geprueft
2014-02-13;0,431;0,449;0,408;Geprueft
2014-02-14;0,507;0,605;0,416;Geprueft
2014-02-15;0,467;0,519;0,426;Geprueft
2014-02-16;0,83;1,35;0,429;Geprueft
2014-02-17;0,745;0,974;0,582;Geprueft
2014-02-18;0,571;0,632;0,517;Geprueft
2014-02-19;0,509;0,589;0,414;Geprueft
2014-02-20;0,475;0,512;0,391;Geprueft
2014-02-21;0,469;0,575;0,431;Geprueft
2014-02-22;0,508;0,594;0,428;Geprueft
2014-02-23;0,444;0,48;0,394;Geprueft
2014-02-24;0,428;0,466;0,404;Geprueft
2014-02-25;0,406;0,444;0,368;Geprueft
2014-02-26;0,398;0,891;0,192;Geprueft
2014-02-27;0,389;0,423;0,351;Geprueft
2014-02-28;0,431;0,561;0,382;Geprueft
2014-03-01;0,4;0,449;0,358;Geprueft
2014-03-02;0,383;0,408;0,356;Geprueft
2014-03-03;0,375;0,422;0,341;Geprueft
2014-03-04;0,364;0,396;0,333;Geprueft
2014-03-05;0,355;0,373;0,332;Geprueft
2014-03-06;0,347;0,367;0,328;Geprueft
2014-03-07;0,341;0,361;0,304;Geprueft
2014-03-08;0,337;0,363;0,298;Geprueft
2014-03-09;0,328;0,358;0,292;Geprueft
2014-03-10;0,325;0,34;0,308;Geprueft
2014-03-11;0,318;0,342;0,301;Geprueft
2014-03-12;0,319;0,351;0,297;Geprueft
