Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.04.2024 19:12"
Zeitbezug:;MEZ
Messstellen-Name:;Zwiesel
Messstellen-Nr.:;15214003
Gewässer:;"Großer Regen"
Ostwert:;809253;Nordwert:;5438135;"ETRS89 / UTM Zone 32N"
Pegelnullpunktshöhe:;"558,13 m NHN (DHHN2016)"

"Tageswerte Abfluss [m³/s]"
Datum;Mittelwert;Maximum;Minimum;Prüfstatus
2014-01-01;2,35;2,45;2,17;Geprueft
2014-01-02;2,51;2,96;2,3;Geprueft
2014-01-03;2,61;2,9;2,43;Geprueft
2014-01-04;2,49;2,65;2,35;Geprueft
2014-01-05;2,86;3,1;2,65;Geprueft
2014-01-06;2,87;3,09;2,68;Geprueft
2014-01-07;2,6;3,4;2,28;Geprueft
2014-01-08;2,62;2,9;2,47;Geprueft
2014-01-09;2,84;2,95;2,76;Geprueft
2014-01-10;3,92;4,78;2,92;Geprueft
2014-01-11;3,13;3,42;2,96;Geprueft
2014-01-12;3,08;3,32;2,81;Geprueft
2014-01-13;2,64;2,84;2,4;Geprueft
2014-01-14;2,62;2,74;2,49;Geprueft
2014-01-15;2,49;2,72;2,36;Geprueft
2014-01-16;2,37;2,62;2,26;Geprueft
2014-01-17;2,56;2,98;2,4;Geprueft
2014-01-18;2,64;2,85;2,53;Geprueft
2014-01-19;2,5;2,55;2,45;Geprueft
2014-01-20;2,47;2,56;2,39;Geprueft
2014-01-21;2,42;2,46;2,39;Geprueft
2014-01-22;2,34;2,43;2,28;Geprueft
2014-01-23;2,25;2,3;2,16;Geprueft
2014-01-24;2,3;2,38;2,22;Geprueft
2014-01-25;2,18;2,31;2,08;Geprueft
2014-01-26;2,15;2,3;2,05;Geprueft
2014-01-27;2,13;2,22;2,04;Geprueft
2014-01-28;2;2,11;1,94;Geprueft
2014-01-29;1,88;2,01;1,83;Geprueft
2014-01-30;2,5;3,71;1,61;Geprueft
2014-01-31;2,05;2,22;1,87;Geprueft
2014-02-01;2,17;2,51;1,91;Geprueft
2014-02-02;2,23;2,53;2,04;Geprueft
2014-02-03;2,03;2,14;1,91;Geprueft
2014-02-04;2;2,07;1,93;Geprueft
2014-02-05;1,99;2,04;1,94;Geprueft
2014-02-06;1,99;2,06;1,93;Geprueft
2014-02-07;1,98;2,03;1,92;Geprueft
2014-02-08;2,08;2,2;2,01;Geprueft
2014-02-09;2,09;2,16;2,03;Geprueft
2014-02-10;2,02;2,2;1,92;Geprueft
2014-02-11;2,18;2,35;2,01;Geprueft
2014-02-12;1,96;2,13;1,84;Geprueft
2014-02-13;1,92;2,22;1,72;Geprueft
2014-02-14;2,19;2,56;1,99;Geprueft
2014-02-15;2,11;2,32;2,02;Geprueft
