Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.04.2024 19:09"
Zeitbezug:;MEZ
Messstellen-Name:;Lohmannmühle
Messstellen-Nr.:;15216009
Gewässer:;"Kleiner Regen"
Ostwert:;809629;Nordwert:;5437141;"ETRS89 / UTM Zone 32N"
Pegelnullpunktshöhe:;"559,92 m NHN (DHHN2016)"

"Tageswerte Abfluss [m³/s]"
Datum;Mittelwert;Maximum;Minimum;Prüfstatus
2019-01-01;3,1;5,77;2,26;Geprueft
2019-01-02;3,45;5,65;2,46;Geprueft
2019-01-03;2,18;2,47;1,99;Geprueft
2019-01-04;1,95;2,11;1,81;Geprueft
2019-01-05;1,92;2,11;1,79;Geprueft
2019-01-06;1,88;1,99;1,75;Geprueft
2019-01-07;1,88;2,04;1,72;Geprueft
2019-01-08;2,05;2,7;1,92;Geprueft
2019-01-09;1,94;2,16;1,67;Geprueft
2019-01-10;1,78;1,89;1,39;Geprueft
2019-01-11;1,71;2,14;1,34;Geprueft
2019-01-12;1,73;1,87;1,66;Geprueft
2019-01-13;1,82;2,36;1,7;Geprueft
2019-01-14;3,04;3,92;2,13;Geprueft
2019-01-15;2,22;2,58;1,99;Geprueft
2019-01-16;1,96;2,11;1,81;Geprueft
2019-01-17;1,88;2;1,78;Geprueft
2019-01-18;1,84;1,98;1,7;Geprueft
2019-01-19;1,73;1,82;1,69;Geprueft
2019-01-20;1,66;1,69;1,64;Geprueft
2019-01-21;1,62;1,64;1,61;Geprueft
2019-01-22;1,59;1,61;1,58;Geprueft
2019-01-23;1,56;1,58;1,55;Geprueft
2019-01-24;1,54;1,55;1,53;Geprueft
2019-01-25;1,52;1,53;1,51;Geprueft
2019-01-26;1,51;1,51;1,5;Geprueft
2019-01-27;1,52;1,61;1,46;Geprueft
2019-01-28;1,55;1,66;1,42;Geprueft
2019-01-29;1,49;1,67;1,23;Geprueft
2019-01-30;1,57;2,51;0,748;Geprueft
2019-01-31;1,47;2;1,19;Geprueft
2019-02-01;1,49;1,94;1,24;Geprueft
2019-02-02;1,5;2,01;1,1;Geprueft
2019-02-03;1,53;1,61;1,41;Geprueft
2019-02-04;1,46;1,51;1,41;Geprueft
2019-02-05;1,43;1,44;1,42;Geprueft
2019-02-06;1,41;1,42;1,4;Geprueft
2019-02-07;1,52;2,09;1,36;Geprueft
2019-02-08;1,31;1,56;0,94;Geprueft
2019-02-09;1,33;1,65;1,17;Geprueft
2019-02-10;1,45;1,92;1,31;Geprueft
2019-02-11;1,9;2,05;1,7;Geprueft
2019-02-12;1,6;1,72;1,49;Geprueft
2019-02-13;1,48;1,56;1,39;Geprueft
2019-02-14;1,46;1,6;1,38;Geprueft
2019-02-15;1,43;1,65;1,18;Geprueft
2019-02-16;1,44;1,66;1,22;Geprueft
2019-02-17;1,47;1,68;1,24;Geprueft
2019-02-18;1,5;1,91;1,29;Geprueft
2019-02-19;1,52;1,95;1,06;Geprueft
2019-02-20;1,52;1,57;1,45;Geprueft
2019-02-21;1,53;1,63;1,45;Geprueft
2019-02-22;2,15;2,75;1,55;Geprueft
2019-02-23;2,2;2,96;1,95;Geprueft
2019-02-24;1,85;2,46;1,45;Geprueft
2019-02-25;1,77;1,95;1,64;Geprueft
2019-02-26;1,88;1,97;1,81;Geprueft
2019-02-27;2,04;2,31;1,86;Geprueft
2019-02-28;2,36;2,83;2,06;Geprueft
2019-03-01;3,65;6;2,81;Geprueft
2019-03-02;6,29;7,31;4,86;Geprueft
2019-03-03;4,86;5,53;4,38;Geprueft
2019-03-04;5,11;6,28;4,28;Geprueft
2019-03-05;5,09;6,01;4,56;Geprueft
2019-03-06;4,67;5,25;4,03;Geprueft
2019-03-07;4,91;6,29;4,01;Geprueft
2019-03-08;5,38;6,07;4,7;Geprueft
2019-03-09;5,22;6,54;4,42;Geprueft
2019-03-10;10,5;14,6;6,54;Geprueft
2019-03-11;8,11;12,1;5,91;Geprueft
