Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.04.2024 19:12"
Zeitbezug:;MEZ
Messstellen-Name:;Teisnach
Messstellen-Nr.:;15217908
Gewässer:;Teisnach
Ostwert:;792075;Nordwert:;5439213;"ETRS89 / UTM Zone 32N"
Pegelnullpunktshöhe:;"446,11 m NHN (DHHN2016)"

"Tageswerte Abfluss [m³/s]"
Datum;Mittelwert;Maximum;Minimum;Prüfstatus
2014-01-01;0,921;0,973;0,867;Geprueft
2014-01-02;0,909;0,981;0,868;Geprueft
2014-01-03;0,907;0,939;0,877;Geprueft
2014-01-04;0,935;1,04;0,884;Geprueft
2014-01-05;1,13;1,31;0,998;Geprueft
2014-01-06;1,12;1,25;1,01;Geprueft
2014-01-07;1,01;1,06;0,965;Geprueft
2014-01-08;0,98;1,02;0,951;Geprueft
2014-01-09;0,97;1;0,951;Geprueft
2014-01-10;1,28;1,5;0,966;Geprueft
2014-01-11;1,18;1,31;1,09;Geprueft
2014-01-12;1,21;1,37;1,06;Geprueft
2014-01-13;1,03;1,13;0,977;Geprueft
2014-01-14;1,01;1,11;0,956;Geprueft
2014-01-15;1,06;1,15;1,01;Geprueft
2014-01-16;1,02;1,18;0,909;Geprueft
2014-01-17;1,16;1,48;1,02;Geprueft
2014-01-18;1,23;1,44;1,13;Geprueft
2014-01-19;1,09;1,19;1,03;Geprueft
2014-01-20;1,03;1,08;0,984;Geprueft
2014-01-21;1,1;1,2;0,998;Geprueft
2014-01-22;1,14;1,19;1,08;Geprueft
2014-01-23;1,06;1,11;1,02;Geprueft
2014-01-24;1,08;1,15;0,979;Geprueft
2014-01-25;1,03;1,11;0,974;Geprueft
2014-01-26;1,01;1,06;0,974;Geprueft
2014-01-27;1,01;1,08;0,961;Geprueft
2014-01-28;0,97;1,03;0,941;Geprueft
2014-01-29;0,947;0,978;0,92;Geprueft
2014-01-30;0,894;1,09;0,48;Geprueft
2014-01-31;0,928;1,03;0,792;Geprueft
2014-02-01;1,06;1,37;0,902;Geprueft
2014-02-02;1,14;1,32;1,02;Geprueft
2014-02-03;1,05;1,13;0,982;Geprueft
2014-02-04;1,01;1,09;0,954;Geprueft
2014-02-05;0,999;1,04;0,947;Geprueft
2014-02-06;1,02;1,1;0,948;Geprueft
2014-02-07;1,01;1,07;0,964;Geprueft
2014-02-08;1,06;1,11;0,987;Geprueft
2014-02-09;0,997;1,08;0,944;Geprueft
2014-02-10;0,966;1,05;0,91;Geprueft
2014-02-11;1,07;1,24;0,938;Geprueft
2014-02-12;0,961;1,05;0,905;Geprueft
2014-02-13;0,921;0,964;0,881;Geprueft
2014-02-14;1,13;1,38;0,92;Geprueft
2014-02-15;1,02;1,1;0,983;Geprueft
2014-02-16;2,11;3,7;0,988;Geprueft
2014-02-17;2;3,08;1,51;Geprueft
2014-02-18;1,34;1,53;1,22;Geprueft
2014-02-19;1,19;1,26;1,13;Geprueft
2014-02-20;1,14;1,18;1,09;Geprueft
2014-02-21;1,09;1,26;1,03;Geprueft
2014-02-22;1,27;1,48;1,11;Geprueft
2014-02-23;1,05;1,13;0,996;Geprueft
2014-02-24;0,987;1,03;0,962;Geprueft
2014-02-25;0,947;1,01;0,917;Geprueft
2014-02-26;0,911;0,95;0,892;Geprueft
2014-02-27;0,883;0,914;0,819;Geprueft
2014-02-28;0,969;1,12;0,87;Geprueft
2014-03-01;0,929;1;0,889;Geprueft
2014-03-02;0,873;0,903;0,853;Geprueft
2014-03-03;0,845;0,864;0,823;Geprueft
2014-03-04;0,822;0,856;0,797;Geprueft
2014-03-05;0,803;0,835;0,78;Geprueft
2014-03-06;0,759;0,854;0,401;Geprueft
2014-03-07;0,767;0,836;0,722;Geprueft
2014-03-08;0,75;0,808;0,709;Geprueft
2014-03-09;0,728;0,784;0,674;Geprueft
2014-03-10;0,714;0,771;0,666;Geprueft
2014-03-11;0,685;0,805;0,627;Geprueft
2014-03-12;0,663;0,691;0,643;Geprueft
2014-03-13;0,655;0,686;0,638;Geprueft
2014-03-14;0,651;0,674;0,632;Geprueft
2014-03-15;0,732;0,958;0,638;Geprueft
2014-03-16;0,999;1,21;0,814;Geprueft
2014-03-17;0,847;1,02;0,769;Geprueft
2014-03-18;0,758;0,801;0,725;Geprueft
2014-03-19;0,746;0,842;0,675;Geprueft
2014-03-20;0,73;0,776;0,676;Geprueft
2014-03-21;0,682;0,713;0,658;Geprueft
2014-03-22;0,669;0,764;0,641;Geprueft
2014-03-23;1,35;1,88;0,764;Geprueft
2014-03-24;1,5;1,73;1,33;Geprueft
2014-03-25;1,18;1,56;0,999;Geprueft
2014-03-26;0,928;1,05;0,851;Geprueft
2014-03-27;0,827;0,879;0,766;Geprueft
2014-03-28;0,785;0,839;0,747;Geprueft
2014-03-29;0,742;0,792;0,698;Geprueft
2014-03-30;0,704;0,754;0,68;Geprueft
2014-03-31;0,685;0,742;0,656;Geprueft
2014-04-01;0,678;0,718;0,65;Geprueft
2014-04-02;0,689;0,743;0,627;Geprueft
2014-04-03;0,704;0,737;0,687;Geprueft
2014-04-04;0,701;0,795;0,669;Geprueft
2014-04-05;0,681;0,719;0,652;Geprueft
2014-04-06;0,686;0,72;0,658;Geprueft
2014-04-07;0,697;0,726;0,67;Geprueft
2014-04-08;0,742;0,969;0,635;Geprueft
2014-04-09;0,771;0,947;0,696;Geprueft
2014-04-10;0,84;0,999;0,696;Geprueft
2014-04-11;0,752;0,791;0,727;Geprueft
2014-04-12;0,724;0,766;0,703;Geprueft
2014-04-13;0,727;0,747;0,709;Geprueft
2014-04-14;0,91;1,41;0,614;Geprueft
2014-04-15;0,989;1,24;0,833;Geprueft
2014-04-16;0,797;0,86;0,761;Geprueft
2014-04-17;0,741;0,774;0,723;Geprueft
2014-04-18;0,796;1,05;0,687;Geprueft
2014-04-19;0,85;1,08;0,759;Geprueft
2014-04-20;0,731;0,779;0,673;Geprueft
2014-04-21;0,7;0,754;0,661;Geprueft
2014-04-22;0,706;0,78;0,655;Geprueft
2014-04-23;0,68;0,78;0,636;Geprueft
2014-04-24;0,654;0,74;0,63;Geprueft
2014-04-25;0,634;0,666;0,619;Geprueft
2014-04-26;0,707;1,02;0,619;Geprueft
2014-04-27;0,705;0,986;0,667;Geprueft
2014-04-28;0,658;0,679;0,632;Geprueft
2014-04-29;0,656;0,893;0,632;Geprueft
2014-04-30;0,748;0,956;0,637;Geprueft
2014-05-01;0,633;0,661;0,614;Geprueft
2014-05-02;0,644;0,71;0,608;Geprueft
2014-05-03;0,772;1,01;0,626;Geprueft
2014-05-04;0,655;0,686;0,627;Geprueft
2014-05-05;0,622;0,638;0,604;Geprueft
2014-05-06;0,593;0,61;0,582;Geprueft
2014-05-07;0,932;1,52;0,588;Geprueft
2014-05-08;0,988;1,22;0,782;Geprueft
2014-05-09;0,909;1,04;0,763;Geprueft
2014-05-10;1,07;1,28;0,856;Geprueft
2014-05-11;1,19;1,66;0,849;Geprueft
2014-05-12;1,26;1,48;1,06;Geprueft
2014-05-13;1,18;1,49;1,03;Geprueft
2014-05-14;1,09;1,29;0,913;Geprueft
2014-05-15;0,872;0,927;0,798;Geprueft
2014-05-16;0,788;0,838;0,759;Geprueft
2014-05-17;0,821;1,29;0,766;Geprueft
2014-05-18;1,68;2,18;1,29;Geprueft
2014-05-19;1,46;2,15;1,04;Geprueft
2014-05-20;0,938;1,04;0,851;Geprueft
2014-05-21;0,764;0,857;0,463;Geprueft
2014-05-22;0,698;0,75;0,616;Geprueft
2014-05-23;0,658;0,699;0,627;Geprueft
2014-05-24;0,678;0,737;0,639;Geprueft
2014-05-25;0,635;0,687;0,577;Geprueft
2014-05-26;0,598;0,744;0,561;Geprueft
2014-05-27;1,1;1,42;0,744;Geprueft
2014-05-28;4,53;8,91;1,23;Geprueft
2014-05-29;3,46;4,59;0,726;Geprueft
2014-05-30;2,32;3,35;1,68;Geprueft
2014-05-31;1,49;1,73;1,32;Geprueft
2014-06-01;1,21;1,4;1,04;Geprueft
2014-06-02;1,03;1,09;0,943;Geprueft
2014-06-03;0,947;1,04;0,901;Geprueft
2014-06-04;0,923;1,03;0,78;Geprueft
2014-06-05;0,838;0,958;0,742;Geprueft
2014-06-06;0,789;0,944;0,604;Geprueft
2014-06-07;0,714;0,895;0,37;Geprueft
2014-06-08;0,702;0,828;0,645;Geprueft
2014-06-09;0,675;0,731;0,605;Geprueft
2014-06-10;0,649;0,725;0,6;Geprueft
2014-06-11;0,612;0,682;0,535;Geprueft
2014-06-12;0,567;0,658;0,515;Geprueft
