Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.04.2024 19:12"
Zeitbezug:;MEZ
Messstellen-Name:;Lohberg
Messstellen-Nr.:;15221009
Gewässer:;"Weißer Regen"
Ostwert:;798152;Nordwert:;5454593;"ETRS89 / UTM Zone 32N"
Pegelnullpunktshöhe:;"575,72 m NHN (DHHN2016)"

"Tageswerte Abfluss [m³/s]"
Datum;Mittelwert;Maximum;Minimum;Prüfstatus
2014-01-01;0,671;0,671;0,671;Geprueft
2014-01-02;0,664;0,672;0,618;Geprueft
2014-01-03;0,641;0,672;0,619;Geprueft
2014-01-04;0,642;0,674;0,619;Geprueft
2014-01-05;0,69;0,749;0,674;Geprueft
2014-01-06;0,68;0,732;0,621;Geprueft
2014-01-07;0,642;0,676;0,622;Geprueft
2014-01-08;0,636;0,677;0,622;Geprueft
2014-01-09;0,648;0,677;0,623;Geprueft
2014-01-10;0,71;0,736;0,624;Geprueft
2014-01-11;0,667;0,679;0,625;Geprueft
2014-01-12;0,651;0,68;0,625;Geprueft
2014-01-13;0,63;0,68;0,626;Geprueft
2014-01-14;0,627;0,627;0,626;Geprueft
2014-01-15;0,628;0,681;0,627;Geprueft
2014-01-16;0,628;0,629;0,628;Geprueft
2014-01-17;0,642;0,683;0,629;Geprueft
2014-01-18;0,633;0,684;0,629;Geprueft
2014-01-19;0,63;0,631;0,63;Geprueft
2014-01-20;0,629;0,631;0,581;Geprueft
2014-01-21;0,631;0,632;0,581;Geprueft
2014-01-22;0,603;0,633;0,582;Geprueft
2014-01-23;0,584;0,633;0,582;Geprueft
2014-01-24;0,585;0,634;0,583;Geprueft
2014-01-25;0,584;0,584;0,584;Geprueft
2014-01-26;0,585;0,585;0,584;Geprueft
2014-01-27;0,585;0,586;0,585;Geprueft
2014-01-28;0,583;0,586;0,539;Geprueft
2014-01-29;0,581;0,587;0,539;Geprueft
2014-01-30;0,577;0,588;0,54;Geprueft
2014-01-31;0,587;0,588;0,54;Geprueft
2014-02-01;0,607;0,64;0,588;Geprueft
2014-02-02;0,611;0,641;0,589;Geprueft
2014-02-03;0,59;0,59;0,59;Geprueft
2014-02-04;0,589;0,591;0,543;Geprueft
2014-02-05;0,576;0,592;0,544;Geprueft
2014-02-06;0,557;0,592;0,544;Geprueft
2014-02-07;0,55;0,593;0,545;Geprueft
2014-02-08;0,564;0,594;0,545;Geprueft
2014-02-09;0,552;0,594;0,546;Geprueft
2014-02-10;0,554;0,595;0,546;Geprueft
2014-02-11;0,587;0,596;0,547;Geprueft
2014-02-12;0,56;0,596;0,548;Geprueft
2014-02-13;0,549;0,549;0,548;Geprueft
2014-02-14;0,564;0,597;0,549;Geprueft
2014-02-15;0,55;0,55;0,55;Geprueft
2014-02-16;0,662;0,765;0,55;Geprueft
2014-02-17;0,626;0,706;0,599;Geprueft
2014-02-18;0,603;0,652;0,6;Geprueft
2014-02-19;0,601;0,601;0,6;Geprueft
2014-02-20;0,598;0,602;0,553;Geprueft
2014-02-21;0,607;0,654;0,554;Geprueft
2014-02-22;0,608;0,654;0,602;Geprueft
2014-02-23;0,596;0,604;0,555;Geprueft
2014-02-24;0,587;0,604;0,556;Geprueft
2014-02-25;0,58;0,605;0,556;Geprueft
2014-02-26;0,572;0,606;0,556;Geprueft
2014-02-27;0,568;0,606;0,557;Geprueft
2014-02-28;0,57;0,607;0,558;Geprueft
2014-03-01;0,574;0,607;0,558;Geprueft
2014-03-02;0,559;0,56;0,559;Geprueft
2014-03-03;0,56;0,56;0,56;Geprueft
2014-03-04;0,561;0,561;0,56;Geprueft
2014-03-05;0,561;0,562;0,561;Geprueft
2014-03-06;0,562;0,562;0,562;Geprueft
2014-03-07;0,564;0,611;0,562;Geprueft
2014-03-08;0,563;0,563;0,563;Geprueft
2014-03-09;0,564;0,564;0,563;Geprueft
2014-03-10;0,564;0,565;0,564;Geprueft
2014-03-11;0,549;0,565;0,52;Geprueft
2014-03-12;0,544;0,566;0,52;Geprueft
2014-03-13;0,542;0,567;0,521;Geprueft
2014-03-14;0,547;0,567;0,521;Geprueft
2014-03-15;0,581;0,67;0,522;Geprueft
2014-03-16;0,769;0,992;0,617;Geprueft
2014-03-17;0,797;0,921;0,728;Geprueft
2014-03-18;0,703;0,729;0,672;Geprueft
2014-03-19;0,755;0,79;0,729;Geprueft
2014-03-20;0,673;0,729;0,619;Geprueft
2014-03-21;0,62;0,672;0,57;Geprueft
2014-03-22;0,653;0,729;0,569;Geprueft
2014-03-23;0,909;1,07;0,729;Geprueft
2014-03-24;0,777;0,789;0,729;Geprueft
2014-03-25;0,688;0,729;0,671;Geprueft
2014-03-26;0,656;0,671;0,618;Geprueft
2014-03-27;0,641;0,671;0,618;Geprueft
2014-03-28;0,666;0,671;0,618;Geprueft
2014-03-29;0,666;0,671;0,618;Geprueft
2014-03-30;0,67;0,728;0,618;Geprueft
2014-03-31;0,655;0,671;0,617;Geprueft
2014-04-01;0,637;0,67;0,617;Geprueft
2014-04-02;0,62;0,67;0,568;Geprueft
2014-04-03;0,63;0,67;0,568;Geprueft
2014-04-04;0,618;0,67;0,567;Geprueft
2014-04-05;0,624;0,67;0,567;Geprueft
2014-04-06;0,598;0,617;0,567;Geprueft
2014-04-07;0,584;0,616;0,567;Geprueft
2014-04-08;0,589;0,616;0,567;Geprueft
2014-04-09;0,582;0,616;0,567;Geprueft
2014-04-10;0,623;0,725;0,567;Geprueft
2014-04-11;0,586;0,616;0,566;Geprueft
2014-04-12;0,568;0,616;0,521;Geprueft
2014-04-13;0,578;0,615;0,566;Geprueft
2014-04-14;0,603;0,668;0,566;Geprueft
2014-04-15;0,635;0,668;0,615;Geprueft
2014-04-16;0,606;0,615;0,566;Geprueft
2014-04-17;0,585;0,615;0,565;Geprueft
2014-04-18;0,6;0,667;0,565;Geprueft
2014-04-19;0,614;0,667;0,565;Geprueft
2014-04-20;0,667;0,724;0,614;Geprueft
2014-04-21;0,621;0,667;0,565;Geprueft
2014-04-22;0,582;0,614;0,565;Geprueft
2014-04-23;0,557;0,565;0,519;Geprueft
2014-04-24;0,544;0,564;0,519;Geprueft
2014-04-25;0,545;0,666;0,519;Geprueft
2014-04-26;0,576;0,666;0,519;Geprueft
2014-04-27;0,658;1,14;0,519;Geprueft
2014-04-28;0,701;0,782;0,666;Geprueft
2014-04-29;0,632;0,723;0,613;Geprueft
2014-04-30;0,59;0,614;0,565;Geprueft
2014-05-01;0,565;0,566;0,52;Geprueft
2014-05-02;0,567;0,615;0,566;Geprueft
2014-05-03;0,612;0,669;0,567;Geprueft
2014-05-04;0,578;0,617;0,567;Geprueft
2014-05-05;0,56;0,568;0,522;Geprueft
2014-05-06;0,543;0,569;0,523;Geprueft
2014-05-07;0,722;0,994;0,523;Geprueft
2014-05-08;0,784;0,855;0,673;Geprueft
2014-05-09;0,725;0,791;0,673;Geprueft
2014-05-10;0,77;0,856;0,674;Geprueft
2014-05-11;0,695;0,732;0,674;Geprueft
2014-05-12;0,701;0,794;0,622;Geprueft
2014-05-13;0,746;0,794;0,733;Geprueft
2014-05-14;0,694;0,734;0,676;Geprueft
2014-05-15;0,67;0,678;0,624;Geprueft
2014-05-16;0,657;0,93;0,624;Geprueft
2014-05-17;1,3;2,03;0,93;Geprueft
2014-05-18;1,82;2,26;1,61;Geprueft
2014-05-19;1,37;1,71;1,16;Geprueft
2014-05-20;1,1;1,16;1,01;Geprueft
2014-05-21;0,977;1,08;0,934;Geprueft
2014-05-22;0,904;0,935;0,866;Geprueft
2014-05-23;0,88;0,935;0,802;Geprueft
2014-05-24;0,855;0,868;0,803;Geprueft
2014-05-25;0,803;0,868;0,742;Geprueft
2014-05-26;0,763;0,804;0,742;Geprueft
2014-05-27;0,799;1,01;0,743;Geprueft
2014-05-28;6,58;14,2;1,01;Geprueft
2014-05-29;3,97;6,69;3,26;Geprueft
2014-05-30;2,6;3,26;2,28;Geprueft
2014-05-31;2,02;2,28;1,82;Geprueft
2014-06-01;1,72;1,85;1,62;Geprueft
2014-06-02;1,53;1,62;1,43;Geprueft
2014-06-03;1,39;1,43;1,34;Geprueft
2014-06-04;1,3;1,34;1,25;Geprueft
2014-06-05;1,21;1,25;1,17;Geprueft
2014-06-06;1,13;1,17;1,09;Geprueft
2014-06-07;1,05;1,09;1,02;Geprueft
2014-06-08;0,979;1,02;0,944;Geprueft
2014-06-09;0,922;1,02;0,875;Geprueft
2014-06-10;0,898;0,944;0,81;Geprueft
2014-06-11;0,848;0,876;0,81;Geprueft
2014-06-12;0,826;0,876;0,749;Geprueft
2014-06-13;0,8;0,877;0,749;Geprueft
2014-06-14;0,784;0,812;0,75;Geprueft
2014-06-15;0,77;0,812;0,75;Geprueft
2014-06-16;0,753;0,812;0,75;Geprueft
2014-06-17;0,751;0,751;0,75;Geprueft
2014-06-18;0,717;0,751;0,693;Geprueft
2014-06-19;0,709;0,751;0,693;Geprueft
2014-06-20;0,757;0,814;0,693;Geprueft
2014-06-21;0,705;0,751;0,637;Geprueft
2014-06-22;0,674;0,691;0,636;Geprueft
2014-06-23;0,66;0,69;0,635;Geprueft
2014-06-24;0,649;0,689;0,633;Geprueft
2014-06-25;0,699;0,806;0,633;Geprueft
2014-06-26;0,661;0,686;0,631;Geprueft
2014-06-27;0,639;0,685;0,58;Geprueft
2014-06-28;0,617;0,683;0,579;Geprueft
2014-06-29;0,69;0,8;0,628;Geprueft
