Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.04.2024 19:12"
Zeitbezug:;MEZ
Messstellen-Name:;Kötzting
Messstellen-Nr.:;15228008
Gewässer:;"Weißer Regen"
Ostwert:;780850;Nordwert:;5453366;"ETRS89 / UTM Zone 32N"
Pegelnullpunktshöhe:;"392,34 m NHN (DHHN2016)"

"Tageswerte Abfluss [m³/s]"
Datum;Mittelwert;Maximum;Minimum;Prüfstatus
2014-01-01;2,59;2,7;2,43;Geprueft
2014-01-02;2,57;2,7;2,31;Geprueft
2014-01-03;2,58;2,7;2,44;Geprueft
2014-01-04;2,6;2,98;2,44;Geprueft
2014-01-05;3,1;3,44;2,84;Geprueft
2014-01-06;3;3,44;2,7;Geprueft
2014-01-07;2,69;2,84;2,31;Geprueft
2014-01-08;2,64;2,84;2,44;Geprueft
2014-01-09;2,63;2,7;2,44;Geprueft
2014-01-10;2,8;3,28;2,31;Geprueft
2014-01-11;2,71;2,84;2,44;Geprueft
2014-01-12;2,64;2,99;2,44;Geprueft
2014-01-13;2,52;2,71;2,32;Geprueft
2014-01-14;2,57;2,71;2,44;Geprueft
2014-01-15;2,76;2,99;2,57;Geprueft
2014-01-16;2,69;2,85;2,57;Geprueft
2014-01-17;2,82;3,29;2,57;Geprueft
2014-01-18;2,86;3,14;2,57;Geprueft
2014-01-19;2,66;2,85;2,44;Geprueft
2014-01-20;2,6;2,71;2,45;Geprueft
2014-01-21;2,72;2,99;2,58;Geprueft
2014-01-22;2,77;2,99;2,58;Geprueft
2014-01-23;2,64;2,85;2,32;Geprueft
2014-01-24;2,86;3,29;2,58;Geprueft
2014-01-25;2,69;2,99;2,45;Geprueft
2014-01-26;2,61;2,71;2,45;Geprueft
2014-01-27;2,6;2,71;2,45;Geprueft
2014-01-28;2,49;2,58;2,32;Geprueft
2014-01-29;2,42;2,58;2,32;Geprueft
2014-01-30;2,37;2,58;2,2;Geprueft
2014-01-31;2,38;2,58;2,2;Geprueft
2014-02-01;2,46;2,72;2,33;Geprueft
2014-02-02;2,54;2,72;2,33;Geprueft
2014-02-03;2,44;2,58;2,33;Geprueft
2014-02-04;2,4;2,58;2,2;Geprueft
2014-02-05;2,36;2,59;2,21;Geprueft
2014-02-06;2,4;2,59;2,21;Geprueft
2014-02-07;2,5;2,72;2,33;Geprueft
2014-02-08;2,55;2,72;2,33;Geprueft
2014-02-09;2,45;2,72;2,33;Geprueft
2014-02-10;2,39;2,59;2,21;Geprueft
2014-02-11;2,46;2,72;2,33;Geprueft
2014-02-12;2,29;2,59;1,98;Geprueft
2014-02-13;2,26;2,46;2,21;Geprueft
2014-02-14;2,46;3,01;2,09;Geprueft
2014-02-15;2,34;2,59;2,21;Geprueft
2014-02-16;2,92;3,96;2,21;Geprueft
2014-02-17;2,8;3,31;2,46;Geprueft
2014-02-18;2,52;2,73;2,21;Geprueft
2014-02-19;2,41;2,59;2,21;Geprueft
2014-02-20;2,4;2,73;2,21;Geprueft
2014-02-21;2,4;2,73;2,21;Geprueft
2014-02-22;2,61;2,87;2,46;Geprueft
2014-02-23;2,41;2,6;2,22;Geprueft
2014-02-24;2,35;2,47;2,22;Geprueft
2014-02-25;2,32;2,6;2,1;Geprueft
2014-02-26;2,27;2,47;1,98;Geprueft
2014-02-27;2,26;2,73;1,77;Geprueft
2014-02-28;2,33;2,6;2,22;Geprueft
2014-03-01;2,28;3,17;1,29;Geprueft
2014-03-02;2,22;2,47;2,1;Geprueft
2014-03-03;2,22;4,89;1,2;Geprueft
2014-03-04;2,17;2,34;1,99;Geprueft
2014-03-05;2,16;2,34;1,99;Geprueft
2014-03-06;2,17;2,34;1,99;Geprueft
2014-03-07;2,14;3,32;1,47;Geprueft
2014-03-08;2,13;2,47;1,88;Geprueft
2014-03-09;2,06;2,47;1,77;Geprueft
2014-03-10;2,03;2,35;1,88;Geprueft
2014-03-11;2;3,17;1,29;Geprueft
2014-03-12;1,99;3,03;1,29;Geprueft
2014-03-13;1,99;2,22;1,77;Geprueft
2014-03-14;1,99;2,23;1,77;Geprueft
2014-03-15;2,08;2,74;1,88;Geprueft
2014-03-16;2,45;2,88;2,23;Geprueft
2014-03-17;2,52;2,74;2,23;Geprueft
2014-03-18;2,29;2,48;2,11;Geprueft
2014-03-19;2,34;2,61;2,11;Geprueft
2014-03-20;2,28;2,48;2,11;Geprueft
2014-03-21;2,12;2,36;1,89;Geprueft
2014-03-22;2,12;2,36;1,89;Geprueft
2014-03-23;3,21;4;2,24;Geprueft
2014-03-24;3,62;4,18;3,19;Geprueft
2014-03-25;3,1;3,67;2,37;Geprueft
2014-03-26;2,72;3,05;2,24;Geprueft
2014-03-27;2,5;2,77;2,25;Geprueft
2014-03-28;2,42;2,63;2,25;Geprueft
2014-03-29;2,35;2,5;2,25;Geprueft
2014-03-30;2,3;2,51;2,25;Geprueft
2014-03-31;2,27;2,51;2,02;Geprueft
2014-04-01;2,25;2,51;1,91;Geprueft
2014-04-02;2,17;2,38;1,8;Geprueft
2014-04-03;2,16;2,39;2,02;Geprueft
2014-04-04;2,13;2,26;1,91;Geprueft
2014-04-05;2,18;2,39;1,91;Geprueft
2014-04-06;2,12;2,39;1,81;Geprueft
2014-04-07;2,1;2,4;1,92;Geprueft
2014-04-08;2,13;2,4;1,81;Geprueft
2014-04-09;2,11;2,4;1,71;Geprueft
2014-04-10;2,18;2,67;1,81;Geprueft
2014-04-11;2,15;2,4;1,71;Geprueft
2014-04-12;2,09;2,28;1,93;Geprueft
2014-04-13;2,16;2,41;1,93;Geprueft
2014-04-14;2,28;2,81;1,93;Geprueft
2014-04-15;2,56;2,96;2,29;Geprueft
2014-04-16;2,24;2,68;1,62;Geprueft
2014-04-17;2,18;2,42;1,94;Geprueft
2014-04-18;2,3;2,69;1,94;Geprueft
2014-04-19;2,33;2,69;2,17;Geprueft
2014-04-20;2,33;2,69;2,18;Geprueft
2014-04-21;2,23;2,43;2,06;Geprueft
2014-04-22;2,2;2,43;1,95;Geprueft
2014-04-23;2,12;2,43;1,95;Geprueft
2014-04-24;2,02;2,19;1,84;Geprueft
2014-04-25;2;2,44;1,74;Geprueft
2014-04-26;2,48;5,83;1,84;Geprueft
2014-04-27;2,43;3,61;1,96;Geprueft
2014-04-28;2,67;3,45;2,07;Geprueft
2014-04-29;2,58;3,14;2,19;Geprueft
2014-04-30;2,22;2,58;1,96;Geprueft
2014-05-01;2,12;2,32;1,85;Geprueft
2014-05-02;2,18;2,45;1,85;Geprueft
2014-05-03;2,22;2,58;1,85;Geprueft
2014-05-04;2,14;2,32;1,75;Geprueft
2014-05-05;2,07;2,45;1,85;Geprueft
2014-05-06;2,05;2,45;1,64;Geprueft
2014-05-07;2,7;4,14;1,86;Geprueft
2014-05-08;2,83;3,31;2,2;Geprueft
2014-05-09;2,71;3,47;2,33;Geprueft
2014-05-10;2,65;3,01;2,33;Geprueft
2014-05-11;2,54;3,16;1,97;Geprueft
2014-05-12;2,51;4,33;1,75;Geprueft
2014-05-13;2,6;2,87;2,33;Geprueft
