Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.04.2024 19:15"
Zeitbezug:;MEZ
Messstellen-Name:;Gogl-Mühle
Messstellen-Nr.:;15241006
Gewässer:;Chamb
Ostwert:;788823;Nordwert:;5471809;"ETRS89 / UTM Zone 32N"
Pegelnullpunktshöhe:;"420,66 m NHN (DHHN2016)"

"Tageswerte Abfluss [m³/s]"
Datum;Mittelwert;Maximum;Minimum;Prüfstatus
2019-01-01;0,196;0,233;0,189;Geprueft
2019-01-02;0,232;0,246;0,215;Geprueft
2019-01-03;0,194;0,215;0,186;Geprueft
2019-01-04;0,181;0,188;0,178;Geprueft
2019-01-05;0,191;0,203;0,18;Geprueft
2019-01-06;0,204;0,206;0,203;Geprueft
2019-01-07;0,219;0,252;0,206;Geprueft
2019-01-08;0,39;0,734;0,252;Geprueft
2019-01-09;0,872;0,981;0,691;Geprueft
2019-01-10;0,55;0,691;0,459;Geprueft
2019-01-11;0,397;0,459;0,367;Geprueft
2019-01-12;0,371;0,44;0,35;Geprueft
2019-01-13;0,738;1,56;0,44;Geprueft
2019-01-14;2;2,63;1,38;Geprueft
2019-01-15;0,908;1,38;0,666;Geprueft
2019-01-16;0,65;0,666;0,64;Geprueft
2019-01-17;0,587;0,666;0,545;Geprueft
2019-01-18;0,656;0,692;0,592;Geprueft
2019-01-19;0,493;0,592;0,441;Geprueft
2019-01-20;0,408;0,441;0,386;Geprueft
2019-01-21;0,364;0,386;0,351;Geprueft
2019-01-22;0,322;0,351;0,319;Geprueft
2019-01-23;0,302;0,319;0,289;Geprueft
2019-01-24;0,282;0,304;0,275;Geprueft
2019-01-25;0,268;0,275;0,262;Geprueft
2019-01-26;0,265;0,275;0,262;Geprueft
2019-01-27;0,307;0,352;0,275;Geprueft
2019-01-28;0,328;0,336;0,32;Geprueft
2019-01-29;0,298;0,32;0,29;Geprueft
2019-01-30;0,271;0,29;0,249;Geprueft
2019-01-31;0,263;0,276;0,262;Geprueft
2019-02-01;0,251;0,262;0,249;Geprueft
2019-02-02;0,361;0,695;0,249;Geprueft
2019-02-03;0,419;0,643;0,37;Geprueft
2019-02-04;0,319;0,37;0,263;Geprueft
2019-02-05;0,265;0,277;0,249;Geprueft
2019-02-06;0,263;0,263;0,263;Geprueft
2019-02-07;0,263;0,263;0,263;Geprueft
