Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.04.2024 19:15"
Zeitbezug:;MEZ
Messstellen-Name:;Eschlkam
Messstellen-Nr.:;15242304
Gewässer:;Chamb
Ostwert:;783449;Nordwert:;5468105;"ETRS89 / UTM Zone 32N"
Pegelnullpunktshöhe:;"406,41 m NHN (DHHN2016)"

"Tageswerte Abfluss [m³/s]"
Datum;Mittelwert;Maximum;Minimum;Prüfstatus
2019-01-01;1,71;2,11;1,57;Geprueft
2019-01-02;2,25;2,54;1,96;Geprueft
2019-01-03;1,65;1,96;1,25;Geprueft
2019-01-04;1,32;1,45;0,991;Geprueft
2019-01-05;1,45;1,8;1,04;Geprueft
2019-01-06;1,87;1,94;1,64;Geprueft
2019-01-07;1,92;2,18;1,38;Geprueft
2019-01-08;3,25;6,11;2,13;Geprueft
2019-01-09;5,59;6,71;4;Geprueft
2019-01-10;3,22;4;2,59;Geprueft
2019-01-11;2,42;2,72;2,25;Geprueft
2019-01-12;2,27;2,94;2,11;Geprueft
2019-01-13;5,71;12,8;2,94;Geprueft
2019-01-14;11,6;14,8;7,13;Geprueft
2019-01-15;4,99;7,13;3,86;Geprueft
2019-01-16;3,67;3,86;3,59;Geprueft
2019-01-17;3,33;3,74;3,06;Geprueft
2019-01-18;3,46;3,95;2,82;Geprueft
2019-01-19;2,41;2,82;2,06;Geprueft
2019-01-20;1,86;2,06;1,71;Geprueft
2019-01-21;1,56;1,71;1,42;Geprueft
2019-01-22;1,3;1,42;1,21;Geprueft
2019-01-23;1,14;1,21;1,08;Geprueft
2019-01-24;1,01;1,08;0,954;Geprueft
2019-01-25;0,934;0,954;0,924;Geprueft
2019-01-26;1,01;1,43;0,923;Geprueft
2019-01-27;1,5;2,27;1,12;Geprueft
2019-01-28;1,68;1,83;1,47;Geprueft
2019-01-29;1,26;1,47;1,1;Geprueft
2019-01-30;1,01;1,1;0,935;Geprueft
2019-01-31;0,914;0,935;0,893;Geprueft
2019-02-01;0,895;0,941;0,882;Geprueft
2019-02-02;1,42;2,7;0,888;Geprueft
2019-02-03;1,89;2,47;1,41;Geprueft
2019-02-04;1,2;1,41;1,05;Geprueft
2019-02-05;1;1,05;0,969;Geprueft
2019-02-06;0,99;1,07;0,961;Geprueft
2019-02-07;0,955;1,01;0,911;Geprueft
2019-02-08;1,39;1,91;1,01;Geprueft
2019-02-09;2,41;5,28;1,41;Geprueft
2019-02-10;7,24;15,3;4,33;Geprueft
2019-02-11;12,6;17,3;7,55;Geprueft
2019-02-12;5,19;7,55;3,92;Geprueft
2019-02-13;3,33;3,92;3,1;Geprueft
2019-02-14;2,9;3,2;2,73;Geprueft
2019-02-15;2,55;2,82;2,35;Geprueft
2019-02-16;2,36;2,54;2,21;Geprueft
2019-02-17;2,31;2,53;2,01;Geprueft
2019-02-18;2,25;2,43;2,1;Geprueft
2019-02-19;2,2;2,56;1,95;Geprueft
2019-02-20;2,38;2,56;2,14;Geprueft
2019-02-21;2,41;2,82;2,23;Geprueft
