Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.04.2024 19:15"
Zeitbezug:;MEZ
Messstellen-Name:;"Drachensee Speicherabfluss"
Messstellen-Nr.:;15242508
Gewässer:;Chamb
Ostwert:;780824;Nordwert:;5470072;"ETRS89 / UTM Zone 32N"
Pegelnullpunktshöhe:;"396,97 m NHN (DHHN2016)"

"Tageswerte Abfluss [m³/s]"
Datum;Mittelwert;Maximum;Minimum;Prüfstatus
2019-01-01;1,74;2,14;1,55;Geprueft
2019-01-02;2,14;2,22;1,97;Geprueft
2019-01-03;1,86;2,06;1,63;Geprueft
2019-01-04;1,18;1,64;0,776;Geprueft
2019-01-05;1,32;1,72;1,07;Geprueft
2019-01-06;1,82;1,9;1,56;Geprueft
2019-01-07;1,94;2,07;1,57;Geprueft
2019-01-08;3,81;9,75;2,07;Geprueft
2019-01-09;7,27;10,5;3,47;Geprueft
2019-01-10;2,64;3,89;2,08;Geprueft
2019-01-11;2,25;2,26;2,25;Geprueft
2019-01-12;2,25;2,42;2,17;Geprueft
2019-01-13;7,06;15,9;2,42;Geprueft
2019-01-14;14,8;17,8;10,6;Geprueft
2019-01-15;6,01;10,6;3,92;Geprueft
2019-01-16;3,81;4,01;3,75;Geprueft
2019-01-17;3,64;5,01;3,02;Geprueft
2019-01-18;4,07;5,17;2,61;Geprueft
2019-01-19;2,3;2,61;2,28;Geprueft
2019-01-20;2,27;2,29;2,12;Geprueft
2019-01-21;1,88;2,12;1,7;Geprueft
2019-01-22;1,59;1,78;1,54;Geprueft
2019-01-23;1,38;1,55;1,21;Geprueft
2019-01-24;1,27;1,55;1,05;Geprueft
2019-01-25;1,27;1,63;0,655;Geprueft
2019-01-26;0,746;1,14;0,599;Geprueft
2019-01-27;1,54;2,73;0,778;Geprueft
2019-01-28;2,13;2,24;1,8;Geprueft
2019-01-29;1,94;2,24;1,65;Geprueft
2019-01-30;1,27;1,65;0,921;Geprueft
2019-01-31;1,29;1,65;1,07;Geprueft
2019-02-01;1,14;1,57;0,858;Geprueft
2019-02-02;1,08;1,42;0,929;Geprueft
2019-02-03;1,52;1,91;0,677;Geprueft
2019-02-04;1,71;2,26;0,619;Geprueft
2019-02-05;1,89;2,09;1,59;Geprueft
2019-02-06;1,6;1,67;1,43;Geprueft
2019-02-07;1,4;2,1;0,627;Geprueft
2019-02-08;1,65;2,19;1,18;Geprueft
2019-02-09;2,51;6,77;1,52;Geprueft
2019-02-10;6,52;9,61;3,97;Geprueft
2019-02-11;15,1;18,9;9,61;Geprueft
2019-02-12;7,33;13,3;3,98;Geprueft
2019-02-13;4,09;4,59;3,31;Geprueft
2019-02-14;3,13;3,73;2,47;Geprueft
2019-02-15;2,84;3,23;2,56;Geprueft
2019-02-16;2,71;3,07;2,48;Geprueft
2019-02-17;2,68;3,07;2,48;Geprueft
2019-02-18;2,8;3,08;2,57;Geprueft
2019-02-19;2,65;3,43;2,32;Geprueft
2019-02-20;2,99;3,43;2,74;Geprueft
2019-02-21;3,01;4,03;2,75;Geprueft
2019-02-22;4,38;5,47;2,58;Geprueft
2019-02-23;3,1;5,23;2,34;Geprueft
2019-02-24;2,34;2,42;2,34;Geprueft
2019-02-25;2,34;2,34;2,34;Geprueft
2019-02-26;2,35;2,35;2,34;Geprueft
2019-02-27;2,35;2,35;2,35;Geprueft
2019-02-28;2,35;2,36;2,35;Geprueft
2019-03-01;2,58;3,81;2,36;Geprueft
2019-03-02;3,77;4,08;3,22;Geprueft
2019-03-03;3;3,31;2,37;Geprueft
2019-03-04;2,37;2,37;2,37;Geprueft
2019-03-05;2,55;4,45;2,37;Geprueft
2019-03-06;3,41;4,88;2,38;Geprueft
2019-03-07;2,38;2,38;2,38;Geprueft
2019-03-08;2,38;2,39;2,38;Geprueft
2019-03-09;2,4;2,48;2,39;Geprueft
2019-03-10;6,34;11,4;2,48;Geprueft
2019-03-11;5,07;9,24;3;Geprueft
2019-03-12;3,25;3,78;2,83;Geprueft
2019-03-13;3,14;3,7;2,83;Geprueft
2019-03-14;5,18;14,2;2,83;Geprueft
2019-03-15;9,5;14,9;5,27;Geprueft
2019-03-16;15,5;18,1;10,9;Geprueft
2019-03-17;7,59;12;5,12;Geprueft
2019-03-18;4,83;5,45;3,9;Geprueft
2019-03-19;4,28;4,96;3,47;Geprueft
2019-03-20;3,89;4,26;3,65;Geprueft
2019-03-21;3,18;3,65;2,86;Geprueft
2019-03-22;2,99;3,22;2,61;Geprueft
2019-03-23;2,68;2,79;2,53;Geprueft
2019-03-24;2,47;2,53;2,44;Geprueft
2019-03-25;2,48;2,54;2,45;Geprueft
2019-03-26;2,43;2,45;1,84;Geprueft
2019-03-27;2,45;2,46;2,37;Geprueft
2019-03-28;2,13;2,37;1,94;Geprueft
2019-03-29;2,05;2,11;1,94;Geprueft
2019-03-30;1,89;1,94;1,86;Geprueft
2019-03-31;1,63;1,86;0,204;Geprueft
2019-04-01;1,36;2,04;0,174;Geprueft
2019-04-02;1,74;1,78;1,69;Geprueft
2019-04-03;1,66;1,7;1,61;Geprueft
2019-04-04;1,57;1,7;1,36;Geprueft
2019-04-05;1,38;1,62;1,12;Geprueft
2019-04-06;1,36;1,36;1,36;Geprueft
2019-04-07;1,33;1,37;1,28;Geprueft
2019-04-08;1,44;2,24;1,21;Geprueft
2019-04-09;2,02;2,46;1,72;Geprueft
2019-04-10;1,47;1,72;1,29;Geprueft
2019-04-11;1,05;1,38;0,522;Geprueft
2019-04-12;1,09;1,14;0,989;Geprueft
2019-04-13;1,11;1,15;1,07;Geprueft
2019-04-14;1,09;1,15;1,07;Geprueft
2019-04-15;1,13;1,23;1,07;Geprueft
2019-04-16;1,09;1,15;0,996;Geprueft
2019-04-17;1,06;1,07;0,992;Geprueft
2019-04-18;1,07;1,14;0,991;Geprueft
2019-04-19;1,02;1,06;0,987;Geprueft
2019-04-20;0,963;0,987;0,912;Geprueft
2019-04-21;0,911;0,984;0,577;Geprueft
2019-04-22;0,958;0,982;0,907;Geprueft
2019-04-23;0,95;0,979;0,906;Geprueft
2019-04-24;0,923;0,977;0,903;Geprueft
2019-04-25;0,887;0,903;0,83;Geprueft
2019-04-26;0,87;0,9;0,828;Geprueft
2019-04-27;0,899;1,04;0,826;Geprueft
2019-04-28;0,885;1,19;0,407;Geprueft
2019-04-29;1,24;1,87;1,04;Geprueft
2019-04-30;1,64;1,95;1,18;Geprueft
2019-05-01;1,1;1,18;1,03;Geprueft
2019-05-02;0,981;1,03;0,955;Geprueft
2019-05-03;0,938;0,955;0,882;Geprueft
2019-05-04;0,965;1,17;0,88;Geprueft
2019-05-05;1;1,17;0,947;Geprueft
2019-05-06;0,908;1,09;0,874;Geprueft
2019-05-07;0,87;0,874;0,804;Geprueft
2019-05-08;0,835;0,872;0,801;Geprueft
2019-05-09;0,833;0,938;0,799;Geprueft
2019-05-10;0,885;1,01;0,865;Geprueft
2019-05-11;1,52;2,96;0,39;Geprueft
2019-05-12;2,28;2,96;0,264;Geprueft
2019-05-13;1,16;1,74;0,076;Geprueft
2019-05-14;1,61;2,17;1,07;Geprueft
2019-05-15;1,05;1,31;0,924;Geprueft
2019-05-16;1,16;1,22;1,07;Geprueft
2019-05-17;1,57;1,99;1,14;Geprueft
2019-05-18;1,18;1,56;1,06;Geprueft
