Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.04.2024 19:15"
Zeitbezug:;MEZ
Messstellen-Name:;"Furth im Wald"
Messstellen-Nr.:;15243001
Gewässer:;Chamb
Ostwert:;778880;Nordwert:;5468131;"ETRS89 / UTM Zone 32N"
Pegelnullpunktshöhe:;"388,33 m NHN (DHHN2016)"

"Tageswerte Abfluss [m³/s]"
Datum;Mittelwert;Maximum;Minimum;Prüfstatus
2019-01-01;2,74;3,25;2,63;Geprueft
2019-01-02;3,39;3,52;3,11;Geprueft
2019-01-03;2,81;3,11;2,63;Geprueft
2019-01-04;1,98;2,63;0,691;Geprueft
2019-01-05;2,11;2,52;1,67;Geprueft
2019-01-06;2,82;2,98;2,52;Geprueft
2019-01-07;3,08;3,37;2,85;Geprueft
2019-01-08;5,98;14,8;3,37;Geprueft
2019-01-09;12,1;16,3;6,64;Geprueft
2019-01-10;4,92;6,64;4,09;Geprueft
2019-01-11;3,81;4,09;3,65;Geprueft
2019-01-12;3,78;4,24;3,65;Geprueft
2019-01-13;11,3;25,7;4,24;Geprueft
2019-01-14;23,5;27,9;16,7;Geprueft
2019-01-15;10,3;16,7;6,96;Geprueft
2019-01-16;6,72;7,62;5,5;Geprueft
2019-01-17;6,18;7,79;5,33;Geprueft
2019-01-18;6,93;8,46;4,54;Geprueft
2019-01-19;3,88;4,69;3,63;Geprueft
2019-01-20;3,61;3,63;3,48;Geprueft
2019-01-21;3,07;3,48;2,82;Geprueft
2019-01-22;2,64;2,82;2,59;Geprueft
2019-01-23;2,24;2,59;1,86;Geprueft
2019-01-24;2,09;2,38;1,93;Geprueft
2019-01-25;2,14;2,7;1,64;Geprueft
2019-01-26;1,36;1,93;0,851;Geprueft
2019-01-27;2,49;4,06;1,5;Geprueft
2019-01-28;3,29;3,61;2,93;Geprueft
2019-01-29;3,02;3,33;2,58;Geprueft
2019-01-30;2,09;2,58;1,77;Geprueft
2019-01-31;1,95;2,36;1,85;Geprueft
2019-02-01;1,92;2,36;1,56;Geprueft
2019-02-02;1,93;2,57;1,56;Geprueft
2019-02-03;2,56;2,92;1,49;Geprueft
2019-02-04;2,38;3,45;1,37;Geprueft
2019-02-05;2,72;3,04;2,46;Geprueft
2019-02-06;2,36;2,56;2,26;Geprueft
2019-02-07;2,09;2,67;0,733;Geprueft
2019-02-08;2,6;3,3;2,35;Geprueft
2019-02-09;3,72;9,59;2,55;Geprueft
2019-02-10;10,5;16,6;7,57;Geprueft
2019-02-11;21,6;25,9;16,2;Geprueft
2019-02-12;11,5;19,5;6,9;Geprueft
2019-02-13;6,47;7,23;5,44;Geprueft
2019-02-14;5;5,76;4,32;Geprueft
2019-02-15;4,35;4,79;3,87;Geprueft
2019-02-16;4,2;4,63;3,86;Geprueft
2019-02-17;4,07;4,63;3,71;Geprueft
2019-02-18;4,23;4,63;3,86;Geprueft
