Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.04.2024 19:12"
Zeitbezug:;MEZ
Messstellen-Name:;Kothmaißling
Messstellen-Nr.:;15246000
Gewässer:;Chamb
Ostwert:;771733;Nordwert:;5460893;"ETRS89 / UTM Zone 32N"
Pegelnullpunktshöhe:;"368,99 m NHN (DHHN2016)"

"Tageswerte Abfluss [m³/s]"
Datum;Mittelwert;Maximum;Minimum;Prüfstatus
2014-01-01;2,35;2,56;2,15;Geprueft
2014-01-02;2,32;2,56;2,16;Geprueft
2014-01-03;2,3;2,57;2,16;Geprueft
2014-01-04;2,44;3,01;2,29;Geprueft
2014-01-05;3,14;3,87;2,71;Geprueft
2014-01-06;3,02;3,65;2,72;Geprueft
2014-01-07;2,73;2,87;2,58;Geprueft
2014-01-08;2,58;2,72;2,44;Geprueft
2014-01-09;2,51;2,59;2,31;Geprueft
2014-01-10;2,82;3,03;2,59;Geprueft
2014-01-11;2,74;2,88;2,45;Geprueft
2014-01-12;2,6;2,74;2,45;Geprueft
2014-01-13;2,54;2,74;1,92;Geprueft
2014-01-14;2,53;3,04;2,32;Geprueft
2014-01-15;3,03;3,52;2,74;Geprueft
2014-01-16;3,05;3,69;1,8;Geprueft
2014-01-17;2,9;3,05;2,61;Geprueft
2014-01-18;2,92;3,05;2,76;Geprueft
2014-01-19;2,81;3,05;2,76;Geprueft
2014-01-20;2,73;2,76;2,62;Geprueft
2014-01-21;2,71;2,91;2,48;Geprueft
2014-01-22;2,8;2,91;2,62;Geprueft
2014-01-23;2,77;2,92;2,77;Geprueft
2014-01-24;3,08;3,72;2,77;Geprueft
2014-01-25;3,01;3,39;2,49;Geprueft
2014-01-26;2,84;2,93;2,78;Geprueft
2014-01-27;2,82;3,08;2,64;Geprueft
2014-01-28;2,89;2,93;2,64;Geprueft
2014-01-29;2,69;2,79;2,5;Geprueft
2014-01-30;2,55;2,94;2,09;Geprueft
