Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.04.2024 19:12"
Zeitbezug:;MEZ
Messstellen-Name:;Ösbühl
Messstellen-Nr.:;15247501
Gewässer:;Danglesbach
Ostwert:;783028;Nordwert:;5470376;"ETRS89 / UTM Zone 32N"
Pegelnullpunktshöhe:;"410,77 m NHN (DHHN2016)"

"Tageswerte Abfluss [m³/s]"
Datum;Mittelwert;Maximum;Minimum;Prüfstatus
2014-01-01;0,12;0,125;0,115;Geprueft
2014-01-02;0,131;0,198;0,115;Geprueft
2014-01-03;0,13;0,198;0,115;Geprueft
2014-01-04;0,127;0,159;0,115;Geprueft
2014-01-05;0,175;0,185;0,159;Geprueft
2014-01-06;0,156;0,171;0,136;Geprueft
2014-01-07;0,137;0,212;0,125;Geprueft
2014-01-08;0,129;0,198;0,115;Geprueft
2014-01-09;0,124;0,172;0,115;Geprueft
2014-01-10;0,144;0,213;0,116;Geprueft
2014-01-11;0,137;0,199;0,126;Geprueft
2014-01-12;0,129;0,185;0,116;Geprueft
2014-01-13;0,12;0,186;0,106;Geprueft
2014-01-14;0,132;0,199;0,106;Geprueft
2014-01-15;0,157;0,243;0,116;Geprueft
2014-01-16;0,157;0,214;0,127;Geprueft
2014-01-17;0,141;0,214;0,127;Geprueft
2014-01-18;0,14;0,2;0,117;Geprueft
2014-01-19;0,134;0,138;0,117;Geprueft
2014-01-20;0,127;0,127;0,127;Geprueft
2014-01-21;0,129;0,187;0,117;Geprueft
2014-01-22;0,137;0,2;0,117;Geprueft
2014-01-23;0,127;0,138;0,117;Geprueft
2014-01-24;0,153;0,161;0,138;Geprueft
2014-01-25;0,136;0,149;0,127;Geprueft
2014-01-26;0,128;0,138;0,128;Geprueft
2014-01-27;0,132;0,138;0,128;Geprueft
2014-01-28;0,129;0,215;0,128;Geprueft
2014-01-29;0,128;0,139;0,118;Geprueft
2014-01-30;0,118;0,118;0,118;Geprueft
2014-01-31;0,119;0,15;0,118;Geprueft
2014-02-01;0,121;0,162;0,108;Geprueft
2014-02-02;0,118;0,118;0,108;Geprueft
2014-02-03;0,119;0,129;0,118;Geprueft
2014-02-04;0,119;0,139;0,118;Geprueft
2014-02-05;0,117;0,163;0,099;Geprueft
2014-02-06;0,149;0,246;0,109;Geprueft
2014-02-07;0,16;0,203;0,14;Geprueft
2014-02-08;0,16;0,189;0,14;Geprueft
2014-02-09;0,141;0,151;0,14;Geprueft
2014-02-10;0,136;0,189;0,129;Geprueft
2014-02-11;0,129;0,176;0,109;Geprueft
2014-02-12;0,123;0,164;0,109;Geprueft
2014-02-13;0,122;0,177;0,109;Geprueft
2014-02-14;0,142;0,232;0,119;Geprueft
2014-02-15;0,129;0,13;0,119;Geprueft
2014-02-16;0,177;0,232;0,12;Geprueft
2014-02-17;0,158;0,218;0,13;Geprueft
2014-02-18;0,13;0,13;0,12;Geprueft
2014-02-19;0,132;0,191;0,11;Geprueft
2014-02-20;0,125;0,191;0,11;Geprueft
2014-02-21;0,128;0,178;0,11;Geprueft
2014-02-22;0,125;0,153;0,12;Geprueft
2014-02-23;0,12;0,12;0,12;Geprueft
2014-02-24;0,117;0,205;0,11;Geprueft
2014-02-25;0,117;0,178;0,101;Geprueft
2014-02-26;0,111;0,142;0,101;Geprueft
2014-02-27;0,111;0,166;0,093;Geprueft
2014-02-28;0,12;0,179;0,101;Geprueft
2014-03-01;0,112;0,121;0,111;Geprueft
2014-03-02;0,111;0,121;0,102;Geprueft
2014-03-03;0,109;0,132;0,102;Geprueft
2014-03-04;0,097;0,102;0,085;Geprueft
2014-03-05;0,102;0,102;0,093;Geprueft
2014-03-06;0,103;0,179;0,102;Geprueft
2014-03-07;0,098;0,102;0,093;Geprueft
2014-03-08;0,097;0,102;0,085;Geprueft
2014-03-09;0,095;0,102;0,093;Geprueft
2014-03-10;0,095;0,143;0,085;Geprueft
2014-03-11;0,093;0,112;0,085;Geprueft
2014-03-12;0,089;0,094;0,085;Geprueft
2014-03-13;0,094;0,122;0,078;Geprueft
2014-03-14;0,093;0,103;0,078;Geprueft
2014-03-15;0,098;0,103;0,094;Geprueft
2014-03-16;0,105;0,113;0,094;Geprueft
2014-03-17;0,097;0,103;0,094;Geprueft
2014-03-18;0,095;0,103;0,094;Geprueft
2014-03-19;0,105;0,123;0,094;Geprueft
2014-03-20;0,094;0,094;0,094;Geprueft
2014-03-21;0,095;0,103;0,094;Geprueft
2014-03-22;0,094;0,103;0,086;Geprueft
2014-03-23;0,12;0,144;0,094;Geprueft
2014-03-24;0,154;0,181;0,122;Geprueft
2014-03-25;0,156;0,18;0,133;Geprueft
2014-03-26;0,124;0,144;0,112;Geprueft
2014-03-27;0,109;0,122;0,103;Geprueft
2014-03-28;0,102;0,112;0,094;Geprueft
2014-03-29;0,094;0,103;0,094;Geprueft
2014-03-30;0,094;0,094;0,094;Geprueft
2014-03-31;0,093;0,133;0,085;Geprueft
2014-04-01;0,091;0,103;0,085;Geprueft
2014-04-02;0,085;0,085;0,085;Geprueft
2014-04-03;0,086;0,102;0,077;Geprueft
2014-04-04;0,087;0,102;0,077;Geprueft
2014-04-05;0,084;0,085;0,077;Geprueft
2014-04-06;0,085;0,085;0,085;Geprueft
2014-04-07;0,084;0,085;0,077;Geprueft
2014-04-08;0,083;0,093;0,077;Geprueft
2014-04-09;0,085;0,102;0,077;Geprueft
2014-04-10;0,081;0,102;0,077;Geprueft
2014-04-11;0,077;0,085;0,077;Geprueft
2014-04-12;0,079;0,122;0,077;Geprueft
2014-04-13;0,079;0,093;0,077;Geprueft
2014-04-14;0,087;0,102;0,077;Geprueft
2014-04-15;0,092;0,102;0,085;Geprueft
2014-04-16;0,085;0,093;0,077;Geprueft
2014-04-17;0,081;0,085;0,077;Geprueft
2014-04-18;0,087;0,093;0,077;Geprueft
2014-04-19;0,085;0,102;0,077;Geprueft
2014-04-20;0,082;0,085;0,077;Geprueft
2014-04-21;0,079;0,093;0,077;Geprueft
2014-04-22;0,085;0,102;0,077;Geprueft
2014-04-23;0,077;0,085;0,077;Geprueft
2014-04-24;0,077;0,077;0,077;Geprueft
2014-04-25;0,077;0,077;0,07;Geprueft
2014-04-26;0,079;0,121;0,069;Geprueft
2014-04-27;0,108;0,249;0,077;Geprueft
2014-04-28;0,111;0,154;0,093;Geprueft
2014-04-29;0,093;0,111;0,084;Geprueft
2014-04-30;0,084;0,101;0,077;Geprueft
2014-05-01;0,077;0,093;0,069;Geprueft
2014-05-02;0,1;0,121;0,084;Geprueft
2014-05-03;0,084;0,084;0,076;Geprueft
2014-05-04;0,077;0,084;0,076;Geprueft
2014-05-05;0,076;0,076;0,076;Geprueft
2014-05-06;0,074;0,076;0,062;Geprueft
2014-05-07;0,14;0,4;0,069;Geprueft
2014-05-08;0,108;0,141;0,092;Geprueft
2014-05-09;0,101;0,11;0,092;Geprueft
2014-05-10;0,092;0,13;0,084;Geprueft
2014-05-11;0,109;0,141;0,092;Geprueft
2014-05-12;0,103;0,13;0,084;Geprueft
2014-05-13;0,093;0,11;0,083;Geprueft
2014-05-14;0,084;0,092;0,076;Geprueft
2014-05-15;0,08;0,091;0,076;Geprueft
2014-05-16;0,077;0,1;0,076;Geprueft
2014-05-17;0,103;0,19;0,083;Geprueft
2014-05-18;0,274;0,66;0,119;Geprueft
2014-05-19;0,172;0,31;0,1;Geprueft
2014-05-20;0,096;0,1;0,083;Geprueft
2014-05-21;0,085;0,091;0,075;Geprueft
2014-05-22;0,078;0,083;0,075;Geprueft
2014-05-23;0,075;0,075;0,075;Geprueft
2014-05-24;0,076;0,083;0,068;Geprueft
2014-05-25;0,074;0,091;0,061;Geprueft
2014-05-26;0,066;0,068;0,061;Geprueft
2014-05-27;0,073;0,083;0,068;Geprueft
2014-05-28;1,19;2,53;0,068;Geprueft
2014-05-29;0,58;1;0,416;Geprueft
2014-05-30;0,34;0,763;0,188;Geprueft
2014-05-31;0,159;0,202;0,128;Geprueft
2014-06-01;0,128;0,175;0,108;Geprueft
2014-06-02;0,107;0,128;0,099;Geprueft
2014-06-03;0,103;0,108;0,099;Geprueft
2014-06-04;0,095;0,099;0,082;Geprueft
2014-06-05;0,09;0,117;0,082;Geprueft
2014-06-06;0,085;0,09;0,074;Geprueft
2014-06-07;0,081;0,128;0,074;Geprueft
2014-06-08;0,079;0,107;0,067;Geprueft
2014-06-09;0,075;0,082;0,067;Geprueft
2014-06-10;0,071;0,074;0,067;Geprueft
2014-06-11;0,068;0,098;0,06;Geprueft
2014-06-12;0,068;0,081;0,06;Geprueft
2014-06-13;0,065;0,089;0,06;Geprueft
2014-06-14;0,064;0,067;0,06;Geprueft
2014-06-15;0,069;0,098;0,06;Geprueft
2014-06-16;0,062;0,067;0,06;Geprueft
2014-06-17;0,063;0,067;0,06;Geprueft
2014-06-18;0,063;0,089;0,06;Geprueft
2014-06-19;0,062;0,089;0,06;Geprueft
2014-06-20;0,068;0,073;0,054;Geprueft
2014-06-21;0,063;0,073;0,06;Geprueft
2014-06-22;0,067;0,116;0,054;Geprueft
2014-06-23;0,058;0,066;0,054;Geprueft
2014-06-24;0,057;0,06;0,053;Geprueft
2014-06-25;0,069;0,106;0,06;Geprueft
2014-06-26;0,071;0,073;0,066;Geprueft
2014-06-27;0,067;0,073;0,059;Geprueft
2014-06-28;0,061;0,073;0,053;Geprueft
2014-06-29;0,077;0,097;0,066;Geprueft
2014-06-30;0,075;0,106;0,066;Geprueft
2014-07-01;0,065;0,08;0,059;Geprueft
2014-07-02;0,061;0,088;0,059;Geprueft
2014-07-03;0,056;0,066;0,047;Geprueft
2014-07-04;0,053;0,053;0,047;Geprueft
2014-07-05;0,054;0,059;0,053;Geprueft
2014-07-06;0,055;0,059;0,047;Geprueft
2014-07-07;0,051;0,053;0,047;Geprueft
2014-07-08;0,078;0,45;0,047;Geprueft
2014-07-09;0,304;0,729;0,105;Geprueft
2014-07-10;0,09;0,105;0,079;Geprueft
2014-07-11;0,141;0,491;0,079;Geprueft
2014-07-12;0,148;0,41;0,079;Geprueft
2014-07-13;0,206;0,899;0,079;Geprueft
2014-07-14;0,171;0,469;0,095;Geprueft
2014-07-15;0,09;0,124;0,072;Geprueft
2014-07-16;0,075;0,079;0,072;Geprueft
2014-07-17;0,079;0,087;0,072;Geprueft
2014-07-18;0,07;0,079;0,065;Geprueft
2014-07-19;0,065;0,072;0,058;Geprueft
2014-07-20;0,063;0,065;0,058;Geprueft
2014-07-21;0,081;0,157;0,065;Geprueft
2014-07-22;0,218;0,371;0,104;Geprueft
2014-07-23;0,093;0,104;0,071;Geprueft
2014-07-24;0,073;0,079;0,064;Geprueft
2014-07-25;0,068;0,071;0,064;Geprueft
