Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.04.2024 19:09"
Zeitbezug:;MEZ
Messstellen-Name:;Schwabelweis
Messstellen-Nr.:;10062000
Gewässer:;Donau
Ostwert:;729451;Nordwert:;5434823;"ETRS89 / UTM Zone 32N"
Pegelnullpunktshöhe:;"324,45 m NHN (DHHN2016)"

"Tageswerte Abfluss [m³/s]"
Datum;Mittelwert;Maximum;Minimum;Prüfstatus
2019-01-01;373;392;353;Geprueft
2019-01-02;379;407;354;Geprueft
2019-01-03;388;407;377;Geprueft
2019-01-04;323;377;260;Geprueft
2019-01-05;293;323;268;Geprueft
2019-01-06;348;408;300;Geprueft
2019-01-07;439;479;408;Geprueft
2019-01-08;490;507;479;Geprueft
2019-01-09;536;592;493;Geprueft
2019-01-10;594;611;560;Geprueft
2019-01-11;533;560;514;Geprueft
2019-01-12;484;514;466;Geprueft
2019-01-13;482;541;445;Geprueft
2019-01-14;754;986;541;Geprueft
2019-01-15;1050;1090;986;Geprueft
2019-01-16;971;1050;892;Geprueft
2019-01-17;805;892;741;Geprueft
2019-01-18;695;759;654;Geprueft
2019-01-19;632;667;588;Geprueft
2019-01-20;552;588;518;Geprueft
2019-01-21;509;521;486;Geprueft
2019-01-22;481;529;431;Geprueft
2019-01-23;436;475;404;Geprueft
2019-01-24;429;458;399;Geprueft
2019-01-25;416;446;386;Geprueft
2019-01-26;411;426;367;Geprueft
2019-01-27;419;443;405;Geprueft
2019-01-28;417;439;394;Geprueft
2019-01-29;415;440;382;Geprueft
2019-01-30;403;428;376;Geprueft
2019-01-31;350;400;301;Geprueft
2019-02-01;399;433;366;Geprueft
2019-02-02;354;390;314;Geprueft
2019-02-03;384;438;361;Geprueft
2019-02-04;436;462;417;Geprueft
2019-02-05;399;462;368;Geprueft
2019-02-06;347;399;316;Geprueft
2019-02-07;364;383;338;Geprueft
2019-02-08;401;448;367;Geprueft
2019-02-09;413;439;381;Geprueft
2019-02-10;450;473;424;Geprueft
2019-02-11;550;683;451;Geprueft
2019-02-12;682;713;633;Geprueft
2019-02-13;580;633;510;Geprueft
2019-02-14;502;529;467;Geprueft
2019-02-15;463;481;444;Geprueft
2019-02-16;433;451;406;Geprueft
2019-02-17;425;442;412;Geprueft
2019-02-18;407;425;381;Geprueft
2019-02-19;413;452;364;Geprueft
2019-02-20;407;452;377;Geprueft
2019-02-21;420;436;399;Geprueft
2019-02-22;426;442;405;Geprueft
2019-02-23;463;495;433;Geprueft
2019-02-24;490;508;473;Geprueft
2019-02-25;461;480;436;Geprueft
2019-02-26;438;463;383;Geprueft
2019-02-27;440;449;426;Geprueft
2019-02-28;430;468;410;Geprueft
2019-03-01;457;500;438;Geprueft
2019-03-02;574;671;500;Geprueft
2019-03-03;623;677;563;Geprueft
2019-03-04;563;595;533;Geprueft
2019-03-05;564;586;546;Geprueft
2019-03-06;560;567;548;Geprueft
2019-03-07;533;548;508;Geprueft
2019-03-08;510;542;495;Geprueft
2019-03-09;528;549;461;Geprueft
2019-03-10;501;523;468;Geprueft
2019-03-11;660;793;517;Geprueft
2019-03-12;705;793;652;Geprueft
2019-03-13;601;652;571;Geprueft
2019-03-14;574;591;559;Geprueft
2019-03-15;649;760;572;Geprueft
2019-03-16;930;1130;760;Geprueft
2019-03-17;1200;1240;1130;Geprueft
2019-03-18;1110;1240;1010;Geprueft
2019-03-19;971;1020;903;Geprueft
2019-03-20;822;903;745;Geprueft
2019-03-21;701;745;657;Geprueft
2019-03-22;619;675;589;Geprueft
2019-03-23;560;589;531;Geprueft
2019-03-24;528;545;511;Geprueft
2019-03-25;519;538;498;Geprueft
2019-03-26;513;519;499;Geprueft
2019-03-27;490;506;472;Geprueft
2019-03-28;465;486;444;Geprueft
2019-03-29;445;466;423;Geprueft
2019-03-30;426;431;417;Geprueft
2019-03-31;418;424;410;Geprueft
2019-04-01;417;425;403;Geprueft
2019-04-02;414;426;404;Geprueft
2019-04-03;417;427;411;Geprueft
2019-04-04;429;442;412;Geprueft
2019-04-05;434;442;413;Geprueft
2019-04-06;410;428;361;Geprueft
2019-04-07;346;385;299;Geprueft
2019-04-08;389;430;362;Geprueft
2019-04-09;419;445;385;Geprueft
2019-04-10;420;445;394;Geprueft
2019-04-11;447;474;424;Geprueft
2019-04-12;431;468;410;Geprueft
2019-04-13;376;410;327;Geprueft
2019-04-14;366;389;327;Geprueft
2019-04-15;354;382;313;Geprueft
2019-04-16;312;329;281;Geprueft
2019-04-17;299;329;268;Geprueft
2019-04-18;339;377;315;Geprueft
2019-04-19;343;377;307;Geprueft
2019-04-20;345;369;314;Geprueft
2019-04-21;359;384;338;Geprueft
2019-04-22;361;376;345;Geprueft
2019-04-23;355;383;313;Geprueft
2019-04-24;357;398;313;Geprueft
2019-04-25;305;321;289;Geprueft
2019-04-26;349;420;305;Geprueft
2019-04-27;385;434;328;Geprueft
2019-04-28;362;374;343;Geprueft
2019-04-29;356;374;343;Geprueft
2019-04-30;352;419;296;Geprueft
2019-05-01;287;335;248;Geprueft
2019-05-02;313;350;255;Geprueft
2019-05-03;285;303;263;Geprueft
2019-05-04;326;380;263;Geprueft
2019-05-05;303;318;286;Geprueft
2019-05-06;311;341;254;Geprueft
2019-05-07;321;356;262;Geprueft
2019-05-08;251;278;230;Geprueft
2019-05-09;288;332;254;Geprueft
2019-05-10;284;301;261;Geprueft
2019-05-11;340;393;285;Geprueft
2019-05-12;349;386;316;Geprueft
2019-05-13;411;466;355;Geprueft
2019-05-14;382;444;308;Geprueft
2019-05-15;292;323;244;Geprueft
2019-05-16;308;331;276;Geprueft
2019-05-17;273;315;243;Geprueft
2019-05-18;281;307;251;Geprueft
2019-05-19;321;353;291;Geprueft
2019-05-20;300;376;267;Geprueft
2019-05-21;635;972;376;Geprueft
2019-05-22;1200;1360;972;Geprueft
2019-05-23;1390;1400;1360;Geprueft
2019-05-24;1230;1400;983;Geprueft
2019-05-25;857;983;770;Geprueft
2019-05-26;735;770;682;Geprueft
2019-05-27;661;705;627;Geprueft
2019-05-28;669;711;639;Geprueft
