Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"18.04.2024 19:15"
Zeitbezug:;MEZ
Messstellen-Name:;Teisnach
Messstellen-Nr.:;15217908
Gewässer:;Teisnach
Ostwert:;792075;Nordwert:;5439213;"ETRS89 / UTM Zone 32N"
Pegelnullpunktshöhe:;"446,11 m NHN (DHHN2016)"

"Tageswerte Abfluss [m³/s]"
Datum;Mittelwert;Maximum;Minimum;Prüfstatus
2019-01-01;3,11;4,52;2,88;Geprueft
2019-01-02;3,85;5,17;2,86;Geprueft
2019-01-03;2,5;3,98;0,23;Geprueft
2019-01-04;2,19;2,33;2,1;Geprueft
2019-01-05;2,21;2,32;2,11;Geprueft
2019-01-06;2,78;3,15;2,31;Geprueft
2019-01-07;3;3,56;2,57;Geprueft
2019-01-08;3,61;5,3;3,12;Geprueft
2019-01-09;4,2;5,48;3,29;Geprueft
2019-01-10;2,91;3,29;2,59;Geprueft
2019-01-11;2,51;2,61;2,44;Geprueft
2019-01-12;2,38;2,48;2,33;Geprueft
2019-01-13;2,84;4,64;2,26;Geprueft
2019-01-14;6,35;7,83;4,64;Geprueft
2019-01-15;3,77;4,65;3,31;Geprueft
2019-01-16;3,13;3,31;2,98;Geprueft
2019-01-17;2,93;3,39;2,79;Geprueft
2019-01-18;3,11;3,51;2,71;Geprueft
2019-01-19;2,43;2,71;2,21;Geprueft
2019-01-20;2,07;2,21;1,96;Geprueft
2019-01-21;1,87;1,96;1,8;Geprueft
2019-01-22;1,74;1,8;1,68;Geprueft
2019-01-23;1,64;1,68;1,61;Geprueft
2019-01-24;1,58;1,61;1,57;Geprueft
2019-01-25;1,58;1,59;1,56;Geprueft
2019-01-26;1,55;1,56;1,53;Geprueft
2019-01-27;1,52;1,53;1,5;Geprueft
2019-01-28;1,49;1,5;1,48;Geprueft
2019-01-29;1,46;1,48;1,45;Geprueft
2019-01-30;1,43;1,45;1,42;Geprueft
2019-01-31;1,41;1,42;1,39;Geprueft
2019-02-01;1,38;1,39;1,36;Geprueft
2019-02-02;1,35;1,36;1,33;Geprueft
2019-02-03;1,33;1,33;1,32;Geprueft
2019-02-04;1,32;1,32;1,32;Geprueft
2019-02-05;1,31;1,32;1,31;Geprueft
2019-02-06;1,31;1,31;1,31;Geprueft
2019-02-07;1,3;1,31;1,3;Geprueft
2019-02-08;1,3;1,31;1,28;Geprueft
2019-02-09;1,28;1,29;1,27;Geprueft
2019-02-10;1,78;5,66;1,29;Geprueft
2019-02-11;4,49;5,81;3,28;Geprueft
2019-02-12;2,71;3,28;2,38;Geprueft
2019-02-13;2,22;2,43;1,72;Geprueft
2019-02-14;2,08;2,21;1,93;Geprueft
2019-02-15;2;2,44;1,89;Geprueft
2019-02-16;1,96;2,24;1,82;Geprueft
2019-02-17;1,98;2,17;1,8;Geprueft
2019-02-18;2,06;2,24;1,85;Geprueft
2019-02-19;2,12;2,38;1,95;Geprueft
2019-02-20;2,35;2,57;2,19;Geprueft
2019-02-21;2,48;2,96;2,01;Geprueft
2019-02-22;4,87;7,32;2,96;Geprueft
2019-02-23;4,02;5,69;3,32;Geprueft
2019-02-24;2,94;3,32;2,75;Geprueft
2019-02-25;2,78;3,3;2,51;Geprueft
2019-02-26;3,03;3,49;2,77;Geprueft
2019-02-27;3,61;4,55;3,12;Geprueft
2019-02-28;4,4;6,34;3,44;Geprueft
2019-03-01;7,23;9,05;5,89;Geprueft
2019-03-02;8,14;9,65;6,6;Geprueft
2019-03-03;6,93;7,99;6,17;Geprueft
2019-03-04;6,2;7,12;5,63;Geprueft
2019-03-05;6,01;6,89;5,39;Geprueft
2019-03-06;5,42;6,84;4,87;Geprueft
2019-03-07;5,08;6,34;4,45;Geprueft
2019-03-08;4,78;5,96;4,33;Geprueft
2019-03-09;4,57;5,24;4,04;Geprueft
2019-03-10;10,1;20,6;4,95;Geprueft
2019-03-11;6,97;11,1;5,56;Geprueft
2019-03-12;5,03;5,56;4,68;Geprueft
2019-03-13;4,27;4,68;3,99;Geprueft
2019-03-14;6,33;13,6;3,99;Geprueft
2019-03-15;12,7;25,8;7,68;Geprueft
2019-03-16;34;54,2;16,7;Geprueft
2019-03-17;11,8;16,7;9,77;Geprueft
2019-03-18;9,21;11,1;7,49;Geprueft
2019-03-19;6,75;7,49;6,11;Geprueft
2019-03-20;5,6;6,11;5,17;Geprueft
2019-03-21;4,89;5,17;4,68;Geprueft
2019-03-22;4,5;4,68;4,26;Geprueft
2019-03-23;4,3;4,52;4,15;Geprueft
2019-03-24;4,09;4,26;3,95;Geprueft
2019-03-25;3,86;4,12;3,64;Geprueft
2019-03-26;3,5;3,7;3,33;Geprueft
2019-03-27;3,27;3,34;3,16;Geprueft
2019-03-28;3,08;3,16;3,03;Geprueft
2019-03-29;2,98;3,06;2,9;Geprueft
2019-03-30;2,86;2,95;2,79;Geprueft
2019-03-31;2,8;2,84;2,72;Geprueft
2019-04-01;2,73;3,01;2,23;Geprueft
2019-04-02;2,64;2,92;2,32;Geprueft
2019-04-03;2,59;2,76;2,47;Geprueft
2019-04-04;2,52;2,7;2,41;Geprueft
2019-04-05;2,44;2,5;2,37;Geprueft
2019-04-06;2,37;2,45;2,31;Geprueft
2019-04-07;2,29;2,35;2,24;Geprueft
2019-04-08;2,27;2,5;2,2;Geprueft
2019-04-09;2,3;2,47;2,16;Geprueft
2019-04-10;2,13;2,25;2,01;Geprueft
2019-04-11;2,03;2,23;1,92;Geprueft
2019-04-12;1,94;2,06;1,82;Geprueft
2019-04-13;1,88;1,94;1,82;Geprueft
2019-04-14;1,82;1,99;1,44;Geprueft
2019-04-15;1,76;1,98;1,63;Geprueft
2019-04-16;1,68;1,91;1,53;Geprueft
2019-04-17;1,61;1,85;1,44;Geprueft
2019-04-18;1,56;1,83;1,36;Geprueft
2019-04-19;1,5;1,75;1,39;Geprueft
2019-04-20;1,46;1,56;1,37;Geprueft
2019-04-21;1,42;1,47;1,37;Geprueft
2019-04-22;1,4;1,46;1,34;Geprueft
2019-04-23;1,36;1,44;1,29;Geprueft
2019-04-24;1,32;1,48;1,2;Geprueft
2019-04-25;1,25;1,57;0,859;Geprueft
2019-04-26;1,22;1,55;1,06;Geprueft
2019-04-27;1,36;1,57;1,21;Geprueft
2019-04-28;1,41;1,55;1,29;Geprueft
2019-04-29;1,35;1,66;1,1;Geprueft
2019-04-30;1,67;1,91;1,4;Geprueft
2019-05-01;1,33;1,41;1,26;Geprueft
2019-05-02;1,23;1,6;1,07;Geprueft
2019-05-03;1,46;1,69;1,19;Geprueft
2019-05-04;1,56;2,04;1,27;Geprueft
2019-05-05;1,47;1,84;1,3;Geprueft
2019-05-06;1,27;1,48;1,07;Geprueft
2019-05-07;1,2;1,49;1,04;Geprueft
2019-05-08;1,16;1,52;0,991;Geprueft
2019-05-09;1,28;1,61;1,12;Geprueft
2019-05-10;1,46;1,71;1,19;Geprueft
2019-05-11;1,31;1,59;1,17;Geprueft
2019-05-12;1,46;1,59;1,3;Geprueft
2019-05-13;1,21;1,33;1,12;Geprueft
2019-05-14;1,12;1,4;0,968;Geprueft
2019-05-15;1,11;1,28;0,961;Geprueft
2019-05-16;1,4;1,84;1,22;Geprueft
2019-05-17;1,47;1,79;1,15;Geprueft
2019-05-18;1,17;1,29;1,07;Geprueft
2019-05-19;1,16;1,49;1,03;Geprueft
2019-05-20;1,53;2,88;1,21;Geprueft
2019-05-21;2,94;3,55;2,31;Geprueft
2019-05-22;2,63;3,36;2,06;Geprueft
2019-05-23;1,76;2,06;1,52;Geprueft
2019-05-24;1,43;1,59;1,27;Geprueft
2019-05-25;1,25;1,34;1,04;Geprueft
2019-05-26;1,18;1,26;1,07;Geprueft
2019-05-27;1,23;1,79;0,998;Geprueft
2019-05-28;2,74;3,47;1,79;Geprueft
2019-05-29;2,17;2,84;1,75;Geprueft
2019-05-30;1,56;1,76;1,31;Geprueft
2019-05-31;1,31;1,38;1,21;Geprueft
2019-06-01;1,21;1,28;1,07;Geprueft
2019-06-02;1,1;1,16;1,05;Geprueft
2019-06-03;1,03;1,29;0,886;Geprueft
2019-06-04;0,978;1,19;0,852;Geprueft
2019-06-05;1,82;5,91;0,846;Geprueft
2019-06-06;1,69;3,08;1,19;Geprueft
2019-06-07;1,15;1,45;0,977;Geprueft
2019-06-08;0,979;1,32;0,803;Geprueft
2019-06-09;0,933;1;0,821;Geprueft
2019-06-10;0,933;1,02;0,794;Geprueft
2019-06-11;0,916;1,21;0,786;Geprueft
2019-06-12;0,87;0,954;0,769;Geprueft
